### 18:31:18  50_base
   chi2/ndf = 1.6130  (1214.6/753)
### 18:32:15  51_drop_clas6_pi0
   chi2/ndf = 1.5220  (707.7/465)
### 18:32:56  52_drop_clas6_eta
   chi2/ndf = 1.7928  (978.9/546)
### 18:33:34  53_drop_halla_n
   chi2/ndf = 1.5658  (1160.3/741)
### 18:34:15  54_drop_halla_y16
   chi2/ndf = 1.5405  (1127.7/732)
### 18:35:07  55_drop_halla_y11
   chi2/ndf = 1.5714  (1007.3/641)
### 18:35:40  56_drop_bsa_demasi
   chi2/ndf = 1.4832  (1033.8/697)
### 18:36:22  57_drop_bsa_zhao
   chi2/ndf = 1.6323  (1209.6/741)
### 18:37:12  58_drop_bsa_clas12
   chi2/ndf = 1.5606  (1128.3/723)
### 18:38:20  59_drop_eg1
   chi2/ndf = 1.4980  (1068.1/713)
### 18:39:15  SERIES 3 DONE
