### 19:42:46  70_base
   chi2/ndf = 1.2245  (1714.4/1400)
### 19:44:15  71_drop_clas6_pi0
   chi2/ndf = 1.0926  (1214.9/1112)
### 19:45:36  72_drop_clas6_eta
   chi2/ndf = 1.2461  (1486.6/1193)
### 19:46:53  73_drop_halla_n
   chi2/ndf = 1.2012  (1667.3/1388)
### 19:48:33  74_drop_halla_y16
   chi2/ndf = 1.1809  (1628.5/1379)
### 19:49:55  75_drop_halla_y11
   chi2/ndf = 1.1906  (1533.5/1288)
### 19:51:25  76_drop_bsa_demasi
   chi2/ndf = 1.4532  (1012.9/697)
### 19:52:13  77_drop_bsa_zhao
   chi2/ndf = 1.2221  (1696.2/1388)
### 19:53:20  78_drop_bsa_clas12
   chi2/ndf = 1.2142  (1663.5/1370)
### 19:55:18  79_drop_eg1
   chi2/ndf = 1.1619  (1580.1/1360)
### 19:56:44  SERIES 5 DONE
