De Masi: 56 of 62 points are above threshold
=== 70_base: chi2/ndf = 1.2245 (1714.4/1400)
   fit    clas6_pi0:     441.6/288     1.53
   fit    clas6_eta:     217.1/207     1.05
   fit      halla_n:      31.6/12      2.63
   fit    halla_y16:      82.6/21      3.93
   fit    halla_y11:     150.1/112     1.34
          halla_y21:    1997.8/144    13.87
          clas12_xs:    2793.9/438     6.38
            compass:     110.1/26      4.24
         bsa_demasi:     193.2/56      3.45
   fit     bsa_zhao:      15.4/12      1.28
   fit   bsa_clas12:      35.5/30      1.18
   fit bsa_demasi_phi:     685.8/703     0.98
   fit          eg1:      54.6/40      1.36
   01_bsa_demasi_phi_in_A_phi.png                   chi2    685.8/703
   02_clas6_pi0_in_U.png                            chi2    130.9/96
   02_clas6_pi0_in_LT.png                           chi2    181.6/96
   02_clas6_pi0_in_TT.png                           chi2    129.2/96
   03_clas6_eta_in_U.png                            chi2    103.8/69
   03_clas6_eta_in_LT.png                           chi2     45.9/69
   03_clas6_eta_in_TT.png                           chi2     67.3/69
   04_halla_n_in_T.png                              chi2      0.8/4
   04_halla_n_in_LT.png                             chi2     10.4/4
   04_halla_n_in_TT.png                             chi2     20.3/4
   05_halla_y16_in_T.png                            chi2     29.6/7
   05_halla_y16_in_LT.png                           chi2     29.4/7
   05_halla_y16_in_TT.png                           chi2     23.7/7
   06_halla_y11_in_U.png                            chi2     39.7/28
   06_halla_y11_in_LT.png                           chi2     52.2/28
   06_halla_y11_in_TT.png                           chi2     42.6/28
   06_halla_y11_in_LTp.png                          chi2     15.5/28
   07_halla_y21_out_U.png                           chi2   1730.3/36
   07_halla_y21_out_LT.png                          chi2    108.3/36
   07_halla_y21_out_TT.png                          chi2    102.4/36
   07_halla_y21_out_LTp.png                         chi2     56.8/36
   08_clas12_xs_out_U.png                           chi2    391.9/146
   08_clas12_xs_out_LT.png                          chi2   1832.4/146
   08_clas12_xs_out_TT.png                          chi2    569.6/146
   09_compass_out_U.png                             chi2     71.8/13
   09_compass_out_TT.png                            chi2     38.3/13
   10_bsa_demasi_out_A_LU^sinphi.png                chi2    193.2/56
   11_bsa_zhao_in_A_LU^sinphi.png                   chi2     15.4/12
   12_bsa_clas12_in_sigma_LTp_over_sigma_0.png      chi2     35.5/30
   13_eg1_in_AULsin.png                             chi2     13.6/10
   13_eg1_in_AULsin2.png                            chi2      6.0/10
   13_eg1_in_ALLc.png                               chi2     16.4/10
   13_eg1_in_ALLcos.png                             chi2     18.6/10
plots -> runs/70_base/plots
