exp,meson,target,group,Q2,xB,t,tmin,tprime,xB_mean,Q2_bin,xB_bin,t_bin,eps,npts_phi,Ebeam,sigma_meaning,chi2ndf_phi,chi2ndf_phi_rc,in_fit,source,s_u,stat_U,sys_U,s_LT,stat_LT,sys_LT,s_TT,stat_TT,sys_TT,s_u_rc,stat_U_rc,sys_U_rc,s_LT_rc,stat_LT_rc,sys_LT_rc,s_TT_rc,stat_TT_rc,sys_TT_rc
CLAS6_y12,pi0,p,pi001,1.38,0.169875,-1.2085,0.03030048314596745,1.178199516854032,0.169875,1.38,0.169,-1.21,0.437529,16.0,5.75,sigma_U,0.738776,0.737275,yes,"PRC 90 025205 (2014) supplemental, phi table",39.633627,1.697296,3.803227,3.986758,1.659703,1.89371,-40.843933,4.522319,3.00323,39.054862,1.677516,3.747689,3.518887,1.636669,1.671471,-40.965892,4.432594,3.012198
CLAS6_y12,pi0,p,pi001,1.380625,0.170187,-1.71075,0.03041915468031542,1.680330845319685,0.170187,1.38,0.169,-1.71,0.439233,16.0,5.75,sigma_U,3.037768,3.032698,yes,"PRC 90 025205 (2014) supplemental, phi table",15.321388,1.371811,1.502097,0.788527,0.801195,1.557583,-13.583065,4.004939,5.093649,15.236658,1.364067,1.49379,0.753097,0.797861,1.487598,-13.501357,3.982773,5.063009
CLAS6_y12,pi0,p,pi003,1.608889,0.186333,-0.119833,0.03698773438145975,0.08284526561854025,0.186333,1.61,0.187,-0.12,0.35258,18.0,5.75,sigma_U,1.039217,1.036973,yes,"PRC 90 025205 (2014) supplemental, phi table",276.362631,17.263692,46.060438,17.012688,28.981893,58.043289,-184.840895,65.039839,72.909464,263.718392,16.236237,43.953065,7.594899,27.209743,25.91201,-186.453257,62.212611,73.545451
CLAS6_y12,pi0,p,pi003,1.609375,0.186688,-0.174687,0.03713944966803662,0.1375475503319634,0.186688,1.61,0.187,-0.18,0.354799,16.0,5.75,sigma_U,0.751481,0.747785,yes,"PRC 90 025205 (2014) supplemental, phi table",345.352179,24.658033,57.058186,36.466791,42.70226,103.322575,-105.073397,83.735193,88.751316,329.828674,23.324369,54.493433,24.550869,40.39782,69.560795,-110.472723,80.190296,93.311911
CLAS6_y12,pi0,p,pi003,1.609375,0.186438,-0.24825,0.03703268163541051,0.2112173183645895,0.186438,1.61,0.187,-0.25,0.352929,16.0,5.75,sigma_U,1.517662,1.494063,yes,"PRC 90 025205 (2014) supplemental, phi table",276.116446,14.950082,7.002953,0.084449,26.205124,0.0,-175.750675,53.794596,42.139051,264.869263,14.163162,6.717699,-9.133317,24.840133,0.0,-179.087006,51.713205,42.93899
CLAS6_y12,pi0,p,pi003,1.61,0.186875,-0.348562,0.03721962913985433,0.3113423708601457,0.186875,1.61,0.187,-0.35,0.355645,16.0,5.75,sigma_U,1.683186,1.675684,yes,"PRC 90 025205 (2014) supplemental, phi table",223.472044,12.013425,11.023285,-13.633358,20.594577,10.711924,-144.713816,46.118058,46.551298,215.086033,11.441491,10.609625,-20.757135,19.610285,16.309178,-148.785577,44.532937,47.861095
CLAS6_y12,pi0,p,pi003,1.61,0.187,-0.493812,0.03727314280225125,0.4565388571977487,0.187,1.61,0.187,-0.49,0.356575,16.0,5.75,sigma_U,0.544227,0.537126,yes,"PRC 90 025205 (2014) supplemental, phi table",159.96572,6.327454,11.011408,20.418687,10.525215,11.230278,-58.017884,25.319779,19.005858,154.49152,6.071877,10.634585,15.003576,10.087664,8.251967,-62.904451,24.575825,20.60663
CLAS6_y12,pi0,p,pi003,1.61,0.18695,-0.7742,0.03725173218354838,0.7369482678164516,0.18695,1.61,0.187,-0.78,0.356203,20.0,5.75,sigma_U,1.34355,1.2965,yes,"PRC 90 025205 (2014) supplemental, phi table",82.453933,3.188015,7.104647,5.765613,4.869516,19.561903,-30.56221,12.530813,27.505989,80.255806,3.111623,6.915245,3.691432,4.754398,12.524501,-33.196967,12.161646,29.87727
CLAS6_y12,pi0,p,pi003,1.61,0.187,-1.210875,0.03727314280225125,1.173601857197749,0.187,1.61,0.187,-1.21,0.356575,16.0,5.75,sigma_U,2.167059,2.170954,yes,"PRC 90 025205 (2014) supplemental, phi table",34.451054,2.310625,2.995744,0.103775,3.35255,1.764168,-24.900539,6.424592,6.600143,33.947691,2.290168,2.951973,-0.33877,3.32111,5.759089,-25.391473,6.318996,6.73027
CLAS6_y12,pi0,p,pi003,1.61,0.187273,-1.713182,0.03739016599405787,1.675791834005942,0.187273,1.61,0.187,-1.71,0.358598,11.0,5.75,sigma_U,0.798746,0.797669,yes,"PRC 90 025205 (2014) supplemental, phi table",15.982253,1.942986,1.598225,2.295543,1.773601,2.195737,-12.193013,6.247919,4.597365,15.868063,1.929997,1.586806,2.211161,1.765061,2.115024,-12.170681,6.19361,4.588945
