exp,meson,target,bin,observable,Q2,xB,t,phi,value,stat,syst,Ebeam,in_fit,source
CLAS6_demasi,pi0,p,E25M47,A_LU(phi),2.96,0.345,-0.323,225.712,-0.142,0.072,,5.776,yes,"De Masi et al., PRC 77 042201(R) (2008), CLAS physics database export"
CLAS6_demasi,pi0,p,E25M47,A_LU(phi),3.0,0.354,-0.315,255.796,0.009,0.055,,5.776,yes,"De Masi et al., PRC 77 042201(R) (2008), CLAS physics database export"
CLAS6_demasi,pi0,p,E25M47,A_LU(phi),2.99,0.352,-0.316,284.95,-0.148,0.057,,5.776,yes,"De Masi et al., PRC 77 042201(R) (2008), CLAS physics database export"
CLAS6_demasi,pi0,p,E25M47,A_LU(phi),3.02,0.359,-0.304,314.802,-0.187,0.066,,5.776,yes,"De Masi et al., PRC 77 042201(R) (2008), CLAS physics database export"
CLAS6_demasi,pi0,p,E25M47,A_LU(phi),3.09,0.371,-0.288,342.227,0.13,0.085,,5.776,yes,"De Masi et al., PRC 77 042201(R) (2008), CLAS physics database export"
CLAS6_demasi,pi0,p,E25M48,A_LU(phi),3.16,0.388,-0.465,18.392,0.149,0.141,,5.776,yes,"De Masi et al., PRC 77 042201(R) (2008), CLAS physics database export"
CLAS6_demasi,pi0,p,E25M48,A_LU(phi),3.08,0.369,-0.498,47.6,0.028,0.065,,5.776,yes,"De Masi et al., PRC 77 042201(R) (2008), CLAS physics database export"
CLAS6_demasi,pi0,p,E25M48,A_LU(phi),3.05,0.359,-0.497,75.821,0.121,0.056,,5.776,yes,"De Masi et al., PRC 77 042201(R) (2008), CLAS physics database export"
CLAS6_demasi,pi0,p,E25M48,A_LU(phi),3.02,0.355,-0.499,104.186,0.129,0.059,,5.776,yes,"De Masi et al., PRC 77 042201(R) (2008), CLAS physics database export"
CLAS6_demasi,pi0,p,E25M48,A_LU(phi),3.05,0.355,-0.481,129.804,0.111,0.09,,5.776,yes,"De Masi et al., PRC 77 042201(R) (2008), CLAS physics database export"
CLAS6_demasi,pi0,p,E25M48,A_LU(phi),3.12,0.357,-0.467,163.394,-0.034,0.214,,5.776,yes,"De Masi et al., PRC 77 042201(R) (2008), CLAS physics database export"
CLAS6_demasi,pi0,p,E25M48,A_LU(phi),3.04,0.349,-0.488,198.705,0.011,0.119,,5.776,yes,"De Masi et al., PRC 77 042201(R) (2008), CLAS physics database export"
CLAS6_demasi,pi0,p,E25M48,A_LU(phi),3.0,0.346,-0.494,225.79,-0.136,0.077,,5.776,yes,"De Masi et al., PRC 77 042201(R) (2008), CLAS physics database export"
CLAS6_demasi,pi0,p,E25M48,A_LU(phi),3.01,0.354,-0.494,255.728,-0.103,0.055,,5.776,yes,"De Masi et al., PRC 77 042201(R) (2008), CLAS physics database export"
CLAS6_demasi,pi0,p,E25M48,A_LU(phi),3.02,0.358,-0.495,284.45,-0.115,0.055,,5.776,yes,"De Masi et al., PRC 77 042201(R) (2008), CLAS physics database export"
CLAS6_demasi,pi0,p,E25M48,A_LU(phi),3.03,0.36,-0.492,312.22,-0.098,0.065,,5.776,yes,"De Masi et al., PRC 77 042201(R) (2008), CLAS physics database export"
CLAS6_demasi,pi0,p,E25M48,A_LU(phi),3.18,0.388,-0.48,339.894,0.13,0.12,,5.776,yes,"De Masi et al., PRC 77 042201(R) (2008), CLAS physics database export"
CLAS6_demasi,pi0,p,E25M49,A_LU(phi),3.06,0.384,-0.706,22.172,0.252,0.277,,5.776,yes,"De Masi et al., PRC 77 042201(R) (2008), CLAS physics database export"
CLAS6_demasi,pi0,p,E25M49,A_LU(phi),3.02,0.357,-0.791,48.705,0.142,0.055,,5.776,yes,"De Masi et al., PRC 77 042201(R) (2008), CLAS physics database export"
CLAS6_demasi,pi0,p,E25M49,A_LU(phi),3.05,0.36,-0.778,74.919,0.197,0.05,,5.776,yes,"De Masi et al., PRC 77 042201(R) (2008), CLAS physics database export"
CLAS6_demasi,pi0,p,E25M49,A_LU(phi),3.03,0.351,-0.763,104.262,0.131,0.064,,5.776,yes,"De Masi et al., PRC 77 042201(R) (2008), CLAS physics database export"
CLAS6_demasi,pi0,p,E25M49,A_LU(phi),3.11,0.356,-0.713,131.423,-0.145,0.176,,5.776,yes,"De Masi et al., PRC 77 042201(R) (2008), CLAS physics database export"
CLAS6_demasi,pi0,p,E25M49,A_LU(phi),3.17,0.363,-0.702,163.274,-0.534,0.387,,5.776,yes,"De Masi et al., PRC 77 042201(R) (2008), CLAS physics database export"
CLAS6_demasi,pi0,p,E25M49,A_LU(phi),3.06,0.351,-0.733,197.038,0.447,0.255,,5.776,yes,"De Masi et al., PRC 77 042201(R) (2008), CLAS physics database export"
CLAS6_demasi,pi0,p,E25M49,A_LU(phi),3.05,0.348,-0.746,228.526,-0.011,0.123,,5.776,yes,"De Masi et al., PRC 77 042201(R) (2008), CLAS physics database export"
CLAS6_demasi,pi0,p,E25M49,A_LU(phi),3.01,0.352,-0.75,258.387,-0.106,0.062,,5.776,yes,"De Masi et al., PRC 77 042201(R) (2008), CLAS physics database export"
CLAS6_demasi,pi0,p,E25M49,A_LU(phi),3.02,0.356,-0.779,284.405,-0.062,0.046,,5.776,yes,"De Masi et al., PRC 77 042201(R) (2008), CLAS physics database export"
CLAS6_demasi,pi0,p,E25M49,A_LU(phi),3.04,0.362,-0.783,311.956,-0.031,0.06,,5.776,yes,"De Masi et al., PRC 77 042201(R) (2008), CLAS physics database export"
CLAS6_demasi,pi0,p,E25M49,A_LU(phi),3.21,0.396,-0.727,335.676,-0.315,0.25,,5.776,yes,"De Masi et al., PRC 77 042201(R) (2008), CLAS physics database export"
CLAS6_demasi,pi0,p,E25M50,A_LU(phi),3.04,0.358,-1.511,20.978,0.333,0.14,,5.776,yes,"De Masi et al., PRC 77 042201(R) (2008), CLAS physics database export"
CLAS6_demasi,pi0,p,E25M50,A_LU(phi),3.04,0.361,-1.318,47.25,0.0,0.054,,5.776,yes,"De Masi et al., PRC 77 042201(R) (2008), CLAS physics database export"
CLAS6_demasi,pi0,p,E25M50,A_LU(phi),3.07,0.361,-1.284,72.605,0.101,0.062,,5.776,yes,"De Masi et al., PRC 77 042201(R) (2008), CLAS physics database export"
CLAS6_demasi,pi0,p,E25M50,A_LU(phi),3.05,0.35,-1.168,99.144,0.149,0.134,,5.776,yes,"De Masi et al., PRC 77 042201(R) (2008), CLAS physics database export"
CLAS6_demasi,pi0,p,E25M50,A_LU(phi),3.06,0.363,-1.405,134.348,-0.126,0.296,,5.776,yes,"De Masi et al., PRC 77 042201(R) (2008), CLAS physics database export"
CLAS6_demasi,pi0,p,E25M50,A_LU(phi),3.19,0.376,-1.284,165.078,0.16,0.361,,5.776,yes,"De Masi et al., PRC 77 042201(R) (2008), CLAS physics database export"
CLAS6_demasi,pi0,p,E25M50,A_LU(phi),3.01,0.36,-1.405,197.475,0.499,0.329,,5.776,yes,"De Masi et al., PRC 77 042201(R) (2008), CLAS physics database export"
CLAS6_demasi,pi0,p,E25M50,A_LU(phi),2.94,0.343,-1.348,226.706,-0.31,0.357,,5.776,yes,"De Masi et al., PRC 77 042201(R) (2008), CLAS physics database export"
CLAS6_demasi,pi0,p,E25M50,A_LU(phi),3.07,0.358,-1.257,259.033,-0.009,0.109,,5.776,yes,"De Masi et al., PRC 77 042201(R) (2008), CLAS physics database export"
CLAS6_demasi,pi0,p,E25M50,A_LU(phi),3.1,0.366,-1.279,286.494,-0.049,0.055,,5.776,yes,"De Masi et al., PRC 77 042201(R) (2008), CLAS physics database export"
CLAS6_demasi,pi0,p,E25M50,A_LU(phi),3.05,0.362,-1.34,314.82,-0.049,0.059,,5.776,yes,"De Masi et al., PRC 77 042201(R) (2008), CLAS physics database export"
CLAS6_demasi,pi0,p,E25M50,A_LU(phi),2.93,0.344,-1.5,338.295,0.089,0.132,,5.776,yes,"De Masi et al., PRC 77 042201(R) (2008), CLAS physics database export"
CLAS6_demasi,pi0,p,E25M51,A_LU(phi),2.74,0.439,-0.347,15.696,0.312,0.151,,5.776,yes,"De Masi et al., PRC 77 042201(R) (2008), CLAS physics database export"
CLAS6_demasi,pi0,p,E25M51,A_LU(phi),2.72,0.439,-0.351,45.698,-0.055,0.139,,5.776,yes,"De Masi et al., PRC 77 042201(R) (2008), CLAS physics database export"
CLAS6_demasi,pi0,p,E25M51,A_LU(phi),2.72,0.441,-0.35,72.788,-0.078,0.152,,5.776,yes,"De Masi et al., PRC 77 042201(R) (2008), CLAS physics database export"
CLAS6_demasi,pi0,p,E25M51,A_LU(phi),2.66,0.443,-0.367,103.819,0.291,0.263,,5.776,yes,"De Masi et al., PRC 77 042201(R) (2008), CLAS physics database export"
CLAS6_demasi,pi0,p,E25M51,A_LU(phi),2.55,0.434,-0.396,129.907,0.179,0.478,,5.776,yes,"De Masi et al., PRC 77 042201(R) (2008), CLAS physics database export"
CLAS6_demasi,pi0,p,E25M51,A_LU(phi),2.54,0.433,-0.386,236.278,-1.326,3.312,,5.776,yes,"De Masi et al., PRC 77 042201(R) (2008), CLAS physics database export"
CLAS6_demasi,pi0,p,E25M51,A_LU(phi),2.65,0.435,-0.349,254.807,-0.096,0.256,,5.776,yes,"De Masi et al., PRC 77 042201(R) (2008), CLAS physics database export"
CLAS6_demasi,pi0,p,E25M51,A_LU(phi),2.64,0.438,-0.347,283.688,-0.055,0.294,,5.776,yes,"De Masi et al., PRC 77 042201(R) (2008), CLAS physics database export"
CLAS6_demasi,pi0,p,E25M51,A_LU(phi),2.74,0.439,-0.347,317.576,-0.058,0.125,,5.776,yes,"De Masi et al., PRC 77 042201(R) (2008), CLAS physics database export"
CLAS6_demasi,pi0,p,E25M51,A_LU(phi),2.73,0.439,-0.346,345.028,0.02,0.115,,5.776,yes,"De Masi et al., PRC 77 042201(R) (2008), CLAS physics database export"
CLAS6_demasi,pi0,p,E25M52,A_LU(phi),2.75,0.447,-0.505,14.108,-0.054,0.071,,5.776,yes,"De Masi et al., PRC 77 042201(R) (2008), CLAS physics database export"
CLAS6_demasi,pi0,p,E25M52,A_LU(phi),2.76,0.445,-0.509,44.42,0.062,0.08,,5.776,yes,"De Masi et al., PRC 77 042201(R) (2008), CLAS physics database export"
CLAS6_demasi,pi0,p,E25M52,A_LU(phi),2.83,0.453,-0.498,72.625,0.0,0.12,,5.776,yes,"De Masi et al., PRC 77 042201(R) (2008), CLAS physics database export"
CLAS6_demasi,pi0,p,E25M52,A_LU(phi),2.73,0.45,-0.493,103.733,0.187,0.189,,5.776,yes,"De Masi et al., PRC 77 042201(R) (2008), CLAS physics database export"
CLAS6_demasi,pi0,p,E25M52,A_LU(phi),2.58,0.433,-0.523,131.17,0.222,0.185,,5.776,yes,"De Masi et al., PRC 77 042201(R) (2008), CLAS physics database export"
CLAS6_demasi,pi0,p,E25M52,A_LU(phi),2.53,0.43,-0.492,229.415,0.208,0.258,,5.776,yes,"De Masi et al., PRC 77 042201(R) (2008), CLAS physics database export"
CLAS6_demasi,pi0,p,E25M52,A_LU(phi),2.77,0.452,-0.496,252.629,-0.114,0.155,,5.776,yes,"De Masi et al., PRC 77 042201(R) (2008), CLAS physics database export"
CLAS6_demasi,pi0,p,E25M52,A_LU(phi),2.78,0.451,-0.5,285.555,-0.266,0.161,,5.776,yes,"De Masi et al., PRC 77 042201(R) (2008), CLAS physics database export"
CLAS6_demasi,pi0,p,E25M52,A_LU(phi),2.76,0.443,-0.503,317.438,0.021,0.076,,5.776,yes,"De Masi et al., PRC 77 042201(R) (2008), CLAS physics database export"
CLAS6_demasi,pi0,p,E25M52,A_LU(phi),2.76,0.449,-0.502,344.426,-0.059,0.065,,5.776,yes,"De Masi et al., PRC 77 042201(R) (2008), CLAS physics database export"
CLAS6_demasi,pi0,p,E25M53,A_LU(phi),2.74,0.448,-0.784,14.556,0.05,0.057,,5.776,yes,"De Masi et al., PRC 77 042201(R) (2008), CLAS physics database export"
CLAS6_demasi,pi0,p,E25M53,A_LU(phi),2.79,0.449,-0.793,43.761,0.005,0.057,,5.776,yes,"De Masi et al., PRC 77 042201(R) (2008), CLAS physics database export"
CLAS6_demasi,pi0,p,E25M53,A_LU(phi),2.82,0.448,-0.759,68.784,0.174,0.13,,5.776,yes,"De Masi et al., PRC 77 042201(R) (2008), CLAS physics database export"
CLAS6_demasi,pi0,p,E25M53,A_LU(phi),2.74,0.45,-0.789,109.48,0.031,0.144,,5.776,yes,"De Masi et al., PRC 77 042201(R) (2008), CLAS physics database export"
CLAS6_demasi,pi0,p,E25M53,A_LU(phi),2.66,0.441,-0.813,134.103,0.088,0.116,,5.776,yes,"De Masi et al., PRC 77 042201(R) (2008), CLAS physics database export"
CLAS6_demasi,pi0,p,E25M53,A_LU(phi),2.73,0.436,-0.837,204.842,0.0,0.63,,5.776,yes,"De Masi et al., PRC 77 042201(R) (2008), CLAS physics database export"
CLAS6_demasi,pi0,p,E25M53,A_LU(phi),2.72,0.44,-0.828,222.402,-0.127,0.172,,5.776,yes,"De Masi et al., PRC 77 042201(R) (2008), CLAS physics database export"
CLAS6_demasi,pi0,p,E25M53,A_LU(phi),2.72,0.448,-0.789,254.126,-0.297,0.152,,5.776,yes,"De Masi et al., PRC 77 042201(R) (2008), CLAS physics database export"
CLAS6_demasi,pi0,p,E25M53,A_LU(phi),2.73,0.443,-0.793,291.202,-0.165,0.131,,5.776,yes,"De Masi et al., PRC 77 042201(R) (2008), CLAS physics database export"
CLAS6_demasi,pi0,p,E25M53,A_LU(phi),2.75,0.445,-0.79,316.634,0.012,0.056,,5.776,yes,"De Masi et al., PRC 77 042201(R) (2008), CLAS physics database export"
CLAS6_demasi,pi0,p,E25M53,A_LU(phi),2.76,0.449,-0.773,344.241,-0.027,0.051,,5.776,yes,"De Masi et al., PRC 77 042201(R) (2008), CLAS physics database export"
CLAS6_demasi,pi0,p,E25M54,A_LU(phi),2.82,0.453,-1.26,20.771,-0.144,0.096,,5.776,yes,"De Masi et al., PRC 77 042201(R) (2008), CLAS physics database export"
CLAS6_demasi,pi0,p,E25M54,A_LU(phi),2.79,0.451,-1.282,43.627,0.077,0.065,,5.776,yes,"De Masi et al., PRC 77 042201(R) (2008), CLAS physics database export"
CLAS6_demasi,pi0,p,E25M54,A_LU(phi),2.72,0.444,-1.327,74.523,0.0,0.098,,5.776,yes,"De Masi et al., PRC 77 042201(R) (2008), CLAS physics database export"
CLAS6_demasi,pi0,p,E25M54,A_LU(phi),2.75,0.449,-1.338,103.682,-0.041,0.149,,5.776,yes,"De Masi et al., PRC 77 042201(R) (2008), CLAS physics database export"
CLAS6_demasi,pi0,p,E25M54,A_LU(phi),2.73,0.445,-1.294,133.312,0.064,0.111,,5.776,yes,"De Masi et al., PRC 77 042201(R) (2008), CLAS physics database export"
CLAS6_demasi,pi0,p,E25M54,A_LU(phi),2.74,0.427,-1.3,150.234,-1.248,1.248,,5.776,yes,"De Masi et al., PRC 77 042201(R) (2008), CLAS physics database export"
CLAS6_demasi,pi0,p,E25M54,A_LU(phi),2.71,0.441,-1.333,227.311,0.148,0.157,,5.776,yes,"De Masi et al., PRC 77 042201(R) (2008), CLAS physics database export"
CLAS6_demasi,pi0,p,E25M54,A_LU(phi),2.72,0.446,-1.452,257.656,-0.117,0.106,,5.776,yes,"De Masi et al., PRC 77 042201(R) (2008), CLAS physics database export"
CLAS6_demasi,pi0,p,E25M54,A_LU(phi),2.72,0.445,-1.399,285.132,-0.131,0.105,,5.776,yes,"De Masi et al., PRC 77 042201(R) (2008), CLAS physics database export"
CLAS6_demasi,pi0,p,E25M54,A_LU(phi),2.81,0.449,-1.3,316.587,-0.11,0.063,,5.776,yes,"De Masi et al., PRC 77 042201(R) (2008), CLAS physics database export"
CLAS6_demasi,pi0,p,E25M54,A_LU(phi),2.73,0.447,-1.256,340.127,-0.058,0.086,,5.776,yes,"De Masi et al., PRC 77 042201(R) (2008), CLAS physics database export"
CLAS6_demasi,pi0,p,E25M55,A_LU(phi),3.17,0.443,-0.342,15.727,-0.044,0.136,,5.776,yes,"De Masi et al., PRC 77 042201(R) (2008), CLAS physics database export"
CLAS6_demasi,pi0,p,E25M55,A_LU(phi),3.19,0.445,-0.352,44.015,-0.022,0.122,,5.776,yes,"De Masi et al., PRC 77 042201(R) (2008), CLAS physics database export"
CLAS6_demasi,pi0,p,E25M55,A_LU(phi),3.2,0.445,-0.361,74.569,0.363,0.131,,5.776,yes,"De Masi et al., PRC 77 042201(R) (2008), CLAS physics database export"
CLAS6_demasi,pi0,p,E25M55,A_LU(phi),3.12,0.438,-0.35,97.674,-0.14,0.299,,5.776,yes,"De Masi et al., PRC 77 042201(R) (2008), CLAS physics database export"
CLAS6_demasi,pi0,p,E25M55,A_LU(phi),3.18,0.426,-0.379,121.067,-1.28,1.281,,5.776,yes,"De Masi et al., PRC 77 042201(R) (2008), CLAS physics database export"
CLAS6_demasi,pi0,p,E25M55,A_LU(phi),3.24,0.44,-0.359,259.89,-0.219,0.239,,5.776,yes,"De Masi et al., PRC 77 042201(R) (2008), CLAS physics database export"
CLAS6_demasi,pi0,p,E25M55,A_LU(phi),3.18,0.438,-0.344,286.289,-0.081,0.159,,5.776,yes,"De Masi et al., PRC 77 042201(R) (2008), CLAS physics database export"
CLAS6_demasi,pi0,p,E25M55,A_LU(phi),3.18,0.441,-0.345,316.7,-0.01,0.113,,5.776,yes,"De Masi et al., PRC 77 042201(R) (2008), CLAS physics database export"
CLAS6_demasi,pi0,p,E25M55,A_LU(phi),3.18,0.442,-0.35,343.249,0.0,0.118,,5.776,yes,"De Masi et al., PRC 77 042201(R) (2008), CLAS physics database export"
CLAS6_demasi,pi0,p,E25M56,A_LU(phi),3.33,0.472,-0.505,15.046,0.035,0.067,,5.776,yes,"De Masi et al., PRC 77 042201(R) (2008), CLAS physics database export"
CLAS6_demasi,pi0,p,E25M56,A_LU(phi),3.29,0.466,-0.514,45.436,0.023,0.067,,5.776,yes,"De Masi et al., PRC 77 042201(R) (2008), CLAS physics database export"
CLAS6_demasi,pi0,p,E25M56,A_LU(phi),3.33,0.468,-0.5,71.148,0.087,0.08,,5.776,yes,"De Masi et al., PRC 77 042201(R) (2008), CLAS physics database export"
CLAS6_demasi,pi0,p,E25M56,A_LU(phi),3.31,0.472,-0.515,99.368,-0.023,0.176,,5.776,yes,"De Masi et al., PRC 77 042201(R) (2008), CLAS physics database export"
CLAS6_demasi,pi0,p,E25M56,A_LU(phi),3.21,0.447,-0.526,127.964,0.0,0.313,,5.776,yes,"De Masi et al., PRC 77 042201(R) (2008), CLAS physics database export"
CLAS6_demasi,pi0,p,E25M56,A_LU(phi),3.25,0.436,-0.589,238.9,0.737,0.64,,5.776,yes,"De Masi et al., PRC 77 042201(R) (2008), CLAS physics database export"
CLAS6_demasi,pi0,p,E25M56,A_LU(phi),3.29,0.452,-0.49,259.299,-0.181,0.198,,5.776,yes,"De Masi et al., PRC 77 042201(R) (2008), CLAS physics database export"
CLAS6_demasi,pi0,p,E25M56,A_LU(phi),3.3,0.458,-0.502,288.505,0.032,0.093,,5.776,yes,"De Masi et al., PRC 77 042201(R) (2008), CLAS physics database export"
CLAS6_demasi,pi0,p,E25M56,A_LU(phi),3.33,0.472,-0.504,315.872,-0.091,0.063,,5.776,yes,"De Masi et al., PRC 77 042201(R) (2008), CLAS physics database export"
CLAS6_demasi,pi0,p,E25M56,A_LU(phi),3.33,0.474,-0.501,343.881,0.017,0.062,,5.776,yes,"De Masi et al., PRC 77 042201(R) (2008), CLAS physics database export"
CLAS6_demasi,pi0,p,E25M57,A_LU(phi),3.4,0.487,-0.774,15.773,0.029,0.054,,5.776,yes,"De Masi et al., PRC 77 042201(R) (2008), CLAS physics database export"
CLAS6_demasi,pi0,p,E25M57,A_LU(phi),3.35,0.474,-0.782,45.969,0.199,0.047,,5.776,yes,"De Masi et al., PRC 77 042201(R) (2008), CLAS physics database export"
CLAS6_demasi,pi0,p,E25M57,A_LU(phi),3.39,0.473,-0.771,69.725,0.047,0.067,,5.776,yes,"De Masi et al., PRC 77 042201(R) (2008), CLAS physics database export"
CLAS6_demasi,pi0,p,E25M57,A_LU(phi),3.32,0.47,-0.759,105.33,-0.018,0.16,,5.776,yes,"De Masi et al., PRC 77 042201(R) (2008), CLAS physics database export"
CLAS6_demasi,pi0,p,E25M57,A_LU(phi),3.24,0.462,-0.814,134.075,-0.045,0.18,,5.776,yes,"De Masi et al., PRC 77 042201(R) (2008), CLAS physics database export"
CLAS6_demasi,pi0,p,E25M57,A_LU(phi),3.26,0.443,-0.827,150.616,1.238,2.96,,5.776,yes,"De Masi et al., PRC 77 042201(R) (2008), CLAS physics database export"
CLAS6_demasi,pi0,p,E25M57,A_LU(phi),3.08,0.427,-0.886,201.7,-0.181,0.485,,5.776,yes,"De Masi et al., PRC 77 042201(R) (2008), CLAS physics database export"
CLAS6_demasi,pi0,p,E25M57,A_LU(phi),3.23,0.447,-0.806,225.135,0.0,0.254,,5.776,yes,"De Masi et al., PRC 77 042201(R) (2008), CLAS physics database export"
CLAS6_demasi,pi0,p,E25M57,A_LU(phi),3.36,0.478,-0.746,255.895,0.06,0.165,,5.776,yes,"De Masi et al., PRC 77 042201(R) (2008), CLAS physics database export"
CLAS6_demasi,pi0,p,E25M57,A_LU(phi),3.33,0.468,-0.775,289.533,-0.118,0.07,,5.776,yes,"De Masi et al., PRC 77 042201(R) (2008), CLAS physics database export"
CLAS6_demasi,pi0,p,E25M57,A_LU(phi),3.35,0.475,-0.783,315.714,-0.065,0.045,,5.776,yes,"De Masi et al., PRC 77 042201(R) (2008), CLAS physics database export"
CLAS6_demasi,pi0,p,E25M57,A_LU(phi),3.37,0.482,-0.774,343.295,0.013,0.05,,5.776,yes,"De Masi et al., PRC 77 042201(R) (2008), CLAS physics database export"
CLAS6_demasi,pi0,p,E25M58,A_LU(phi),3.38,0.483,-1.272,20.138,0.136,0.086,,5.776,yes,"De Masi et al., PRC 77 042201(R) (2008), CLAS physics database export"
CLAS6_demasi,pi0,p,E25M58,A_LU(phi),3.37,0.476,-1.318,45.49,0.01,0.046,,5.776,yes,"De Masi et al., PRC 77 042201(R) (2008), CLAS physics database export"
CLAS6_demasi,pi0,p,E25M58,A_LU(phi),3.35,0.468,-1.294,69.421,0.131,0.08,,5.776,yes,"De Masi et al., PRC 77 042201(R) (2008), CLAS physics database export"
CLAS6_demasi,pi0,p,E25M58,A_LU(phi),3.34,0.479,-1.451,106.403,0.278,0.204,,5.776,yes,"De Masi et al., PRC 77 042201(R) (2008), CLAS physics database export"
CLAS6_demasi,pi0,p,E25M58,A_LU(phi),3.3,0.471,-1.343,131.847,-0.016,0.151,,5.776,yes,"De Masi et al., PRC 77 042201(R) (2008), CLAS physics database export"
CLAS6_demasi,pi0,p,E25M58,A_LU(phi),3.26,0.435,-1.326,160.328,-0.248,0.565,,5.776,yes,"De Masi et al., PRC 77 042201(R) (2008), CLAS physics database export"
CLAS6_demasi,pi0,p,E25M58,A_LU(phi),3.06,0.425,-1.095,201.793,0.627,0.859,,5.776,yes,"De Masi et al., PRC 77 042201(R) (2008), CLAS physics database export"
CLAS6_demasi,pi0,p,E25M58,A_LU(phi),3.28,0.461,-1.334,225.639,-0.344,0.222,,5.776,yes,"De Masi et al., PRC 77 042201(R) (2008), CLAS physics database export"
CLAS6_demasi,pi0,p,E25M58,A_LU(phi),3.37,0.483,-1.466,255.357,-0.201,0.134,,5.776,yes,"De Masi et al., PRC 77 042201(R) (2008), CLAS physics database export"
CLAS6_demasi,pi0,p,E25M58,A_LU(phi),3.34,0.47,-1.334,290.006,-0.121,0.082,,5.776,yes,"De Masi et al., PRC 77 042201(R) (2008), CLAS physics database export"
CLAS6_demasi,pi0,p,E25M58,A_LU(phi),3.39,0.481,-1.324,315.821,-0.013,0.047,,5.776,yes,"De Masi et al., PRC 77 042201(R) (2008), CLAS physics database export"
CLAS6_demasi,pi0,p,E25M58,A_LU(phi),3.42,0.491,-1.294,338.377,0.008,0.074,,5.776,yes,"De Masi et al., PRC 77 042201(R) (2008), CLAS physics database export"
CLAS6_demasi,pi0,p,E25M59,A_LU(phi),3.58,0.448,-0.35,14.582,0.039,0.157,,5.776,yes,"De Masi et al., PRC 77 042201(R) (2008), CLAS physics database export"
CLAS6_demasi,pi0,p,E25M59,A_LU(phi),3.59,0.443,-0.354,45.002,-0.217,0.177,,5.776,yes,"De Masi et al., PRC 77 042201(R) (2008), CLAS physics database export"
CLAS6_demasi,pi0,p,E25M59,A_LU(phi),3.53,0.438,-0.346,73.542,0.07,0.149,,5.776,yes,"De Masi et al., PRC 77 042201(R) (2008), CLAS physics database export"
CLAS6_demasi,pi0,p,E25M59,A_LU(phi),3.59,0.443,-0.366,100.631,-0.084,0.232,,5.776,yes,"De Masi et al., PRC 77 042201(R) (2008), CLAS physics database export"
CLAS6_demasi,pi0,p,E25M59,A_LU(phi),3.57,0.428,-0.388,131.745,0.636,0.711,,5.776,yes,"De Masi et al., PRC 77 042201(R) (2008), CLAS physics database export"
CLAS6_demasi,pi0,p,E25M59,A_LU(phi),3.67,0.42,-0.363,234.953,0.0,0.879,,5.776,yes,"De Masi et al., PRC 77 042201(R) (2008), CLAS physics database export"
CLAS6_demasi,pi0,p,E25M59,A_LU(phi),3.48,0.432,-0.37,256.981,-0.079,0.232,,5.776,yes,"De Masi et al., PRC 77 042201(R) (2008), CLAS physics database export"
CLAS6_demasi,pi0,p,E25M59,A_LU(phi),3.59,0.441,-0.367,285.998,0.019,0.158,,5.776,yes,"De Masi et al., PRC 77 042201(R) (2008), CLAS physics database export"
CLAS6_demasi,pi0,p,E25M59,A_LU(phi),3.58,0.443,-0.355,315.557,-0.43,0.159,,5.776,yes,"De Masi et al., PRC 77 042201(R) (2008), CLAS physics database export"
CLAS6_demasi,pi0,p,E25M59,A_LU(phi),3.57,0.44,-0.351,343.605,-0.016,0.149,,5.776,yes,"De Masi et al., PRC 77 042201(R) (2008), CLAS physics database export"
CLAS6_demasi,pi0,p,E25M60,A_LU(phi),3.8,0.483,-0.5,15.065,0.016,0.085,,5.776,yes,"De Masi et al., PRC 77 042201(R) (2008), CLAS physics database export"
CLAS6_demasi,pi0,p,E25M60,A_LU(phi),3.77,0.474,-0.514,46.741,0.057,0.074,,5.776,yes,"De Masi et al., PRC 77 042201(R) (2008), CLAS physics database export"
CLAS6_demasi,pi0,p,E25M60,A_LU(phi),3.79,0.475,-0.51,73.855,0.041,0.073,,5.776,yes,"De Masi et al., PRC 77 042201(R) (2008), CLAS physics database export"
CLAS6_demasi,pi0,p,E25M60,A_LU(phi),3.71,0.456,-0.506,102.477,0.216,0.113,,5.776,yes,"De Masi et al., PRC 77 042201(R) (2008), CLAS physics database export"
CLAS6_demasi,pi0,p,E25M60,A_LU(phi),3.7,0.449,-0.515,128.277,0.0,0.268,,5.776,yes,"De Masi et al., PRC 77 042201(R) (2008), CLAS physics database export"
CLAS6_demasi,pi0,p,E25M60,A_LU(phi),3.63,0.426,-0.549,169.974,-1.225,1.225,,5.776,yes,"De Masi et al., PRC 77 042201(R) (2008), CLAS physics database export"
CLAS6_demasi,pi0,p,E25M60,A_LU(phi),3.58,0.426,-0.496,180.196,0.0,0.897,,5.776,yes,"De Masi et al., PRC 77 042201(R) (2008), CLAS physics database export"
CLAS6_demasi,pi0,p,E25M60,A_LU(phi),3.63,0.435,-0.492,229.791,-0.17,0.242,,5.776,yes,"De Masi et al., PRC 77 042201(R) (2008), CLAS physics database export"
CLAS6_demasi,pi0,p,E25M60,A_LU(phi),3.67,0.453,-0.508,257.607,-0.208,0.096,,5.776,yes,"De Masi et al., PRC 77 042201(R) (2008), CLAS physics database export"
CLAS6_demasi,pi0,p,E25M60,A_LU(phi),3.72,0.467,-0.507,286.195,0.041,0.082,,5.776,yes,"De Masi et al., PRC 77 042201(R) (2008), CLAS physics database export"
