# Zhao 2019 PLB 789 426 figure 5, read from the vector PDF of the published paper
# Q2 xB mt alpha stat syst
   1.5100    0.2100    0.2600    0.2120    0.0350    0.0478
   1.5100    0.2100    0.5790    0.0951    0.0340    0.0243
   1.5100    0.2100    1.1500    0.1231    0.0370    0.0393
   1.7900    0.2100    0.2580    0.1470    0.0400    0.0346
   1.7900    0.2100    0.5770    0.1330    0.0340    0.0218
   1.7900    0.2100    1.1300    0.1630    0.0430    0.0367
   2.2600    0.3700    0.3180    0.2081    0.0597    0.0641
   2.2600    0.3700    0.5930    0.1377    0.0313    0.0366
   2.2600    0.3700    1.1900    0.1436    0.0293    0.0395
   3.1000    0.4000    0.3180    0.1944    0.0733    0.0447
   3.1000    0.4000    0.6010    0.1827    0.0381    0.0437
   3.1000    0.4000    1.2100    0.2042    0.0313    0.0438
