# Hall-A pi0 off the proton, from hepgen_mac/data/All_experiment.xlsx
# HallA_y21: 12-GeV era, Q2 2.67-8.31, xB 0.36-0.60, sigma_U and sigma_TT with systematics
# HallA_y11: 6-GeV, Q2 1.94 and 2.35, xB 0.368
# NOTE the sigma column here is sigma_U = sigma_T + eps sigma_L (unseparated), unlike
# the Rosenbluth sets y16/y17 where it is sigma_T.  Ebeam is per row and is needed for eps.
# exp        meson tgt   Q2      xB      -t       sigma_U    stat      syst      sigma_LT  stat     syst     sigma_TT   stat      syst      Ebeam
HallA_y11  pi0  p    1.941  0.368   0.2185    600.000    12.000    25.000   -43.000   22.000   12.000   -110.000    24.000    13.000   5.752
HallA_y11  pi0  p    1.941  0.368   0.2425    641.000    12.000    27.000   -23.000   21.000   12.000   -141.000    22.000    17.000   5.752
HallA_y11  pi0  p    1.941  0.368   0.2725    673.000    15.000    28.000   -19.000   27.000   14.000   -174.000    28.000    17.000   5.752
HallA_y11  pi0  p    1.941  0.368   0.3065    645.000    16.000    27.000  -103.000   30.000   21.000   -319.000    29.000    23.000   5.752
HallA_y11  pi0  p    1.941  0.368   0.3465    636.000    25.000    27.000  -185.000   52.000   43.000   -352.000    45.000    53.000   5.752
HallA_y11  pi0  p    1.941  0.368   0.3945    628.000    36.000    26.000  -189.000   74.000   34.000   -343.000    57.000    68.000   5.752
HallA_y11  pi0  p    2.350  0.369   0.1999    377.000    10.000    12.000   -13.000   23.000   10.000    -12.000    23.000    14.000   5.752
HallA_y11  pi0  p    2.350  0.369   0.2199    381.000    12.000    12.000    38.000   26.000   24.000    -25.000    27.000    15.000   5.752
HallA_y11  pi0  p    2.350  0.369   0.2439    403.000    10.000    13.000   -25.000   22.000   11.000    -74.000    22.000     4.000   5.752
HallA_y11  pi0  p    2.350  0.369   0.2739    425.000    11.000    14.000   -26.000   25.000   13.000    -64.000    25.000    14.000   5.752
HallA_y11  pi0  p    2.350  0.369   0.3079    418.000    11.000    14.000   -75.000   24.000    9.000   -124.000    24.000    16.000   5.752
HallA_y11  pi0  p    2.350  0.369   0.3479    395.000    13.000    13.000   -91.000   30.000    8.000   -137.000    29.000    15.000   5.752
HallA_y11  pi0  p    2.350  0.369   0.3959    384.000    13.000    13.000  -123.000   31.000   10.000   -134.000    30.000    15.000   5.752
