    1.14929     0.13193     0.11979   320.01584    37.78427    55.36931   -46.47718    64.76263   176.61327  -250.01081   107.48904   162.50703
    1.14929     0.13200     0.17457   296.54709    37.81117    70.83131   -87.52292    65.65660   145.10379  -295.52080   105.26139   217.59237
    1.15000     0.13200     0.24825   254.48729    17.47253    14.29704   -52.45051    30.43930    46.20640  -240.94206    53.24618    21.71581
    1.15000     0.13200     0.34807   180.76881    12.50900    31.73070   -55.40400    22.19499    47.64744  -182.37650    42.27962    67.24497
    1.15000     0.13206     0.49250   122.43970     4.52532     9.69435   -17.94129     7.76080     6.57847   -81.08745    18.39608     8.42062
    1.15000     0.13230     0.77020    64.41279     1.95615     7.71002     2.42264     3.04041     4.08023   -41.21832     7.70267    16.57018
    1.15818     0.13318     1.70891    17.70584     1.99493     1.59154     4.41694     1.24016     2.05439   -21.37675     6.73839     7.76420
    1.37889     0.16889     0.11978   340.65736    12.42363    33.39778     7.71406    18.09851    12.18010  -193.70582    40.09102    47.66583
    1.37944     0.16900     0.17472   349.62899    14.25706    22.92649    -8.42723    21.05139    88.48596  -249.05602    44.29084    53.44117
    1.37938     0.16900     0.24831   316.58056    11.42261    15.30299     7.39922    17.45359     6.62036  -207.40209    34.16437    50.31041
    1.38000     0.16900     0.34875   243.68674     9.65640    12.47216     8.42615    14.35672    11.89574  -160.69283    31.06139    26.25700
    1.38000     0.16900     0.49356   160.73723     4.91614    11.60558   -19.76082     6.87660    15.39804  -112.88762    17.19408    18.64199
    1.38000     0.16963     0.77247    81.02755     3.20786     3.98337     7.71316     4.31007     7.95171   -51.18624     9.31926     5.69909
    1.38000     0.16987     1.20850    39.05486     1.67752     3.74769     3.51889     1.63667     1.67147   -40.96589     4.43259     3.01220
    1.38062     0.17019     1.71075    15.23666     1.36407     1.49379     0.75310     0.79786     1.48760   -13.50136     3.98277     5.06301
    1.60889     0.18633     0.11983   263.71839    16.23624    43.95307     7.59490    27.20974    25.91201  -186.45326    62.21261    73.54545
