                                                                       1

1                  SUPPLEMENTAL MATERIAL


    TABLE I: Beam spin asymmetry measurements for first dataset from
    experimental period with negative torus polarity.
           Q2 , xB bin −t range ϕ range BSA ∆stat ∆syst
             4     0.82 - 1.26 0 - 40 -0.0062 0.0862 0.0181
             4     0.82 - 1.26 40 - 80 0.1159 0.0667 0.0198
             4     0.82 - 1.26 80 - 120 0.0429 0.0507 0.0142
             4     0.82 - 1.26 120 - 160 0.0256 0.0534 0.0183
             4     0.82 - 1.26 160 - 200 0.0575 0.0749 0.0288
             4     0.82 - 1.26 200 - 240 -0.1091 0.0617 0.0174
             4     0.82 - 1.26 240 - 280 -0.0622 0.0621 0.021
             4     0.82 - 1.26 280 - 320 -0.1173 0.0825 0.0292
             4     0.82 - 1.26 320 - 360 -0.0513 0.1024 0.0271
             4       1.26 - 2    0 - 40 0.0294 0.0975 0.0284
             4       1.26 - 2   40 - 80 -0.0807 0.0647 0.0149
             4       1.26 - 2 80 - 120 0.0953 0.0459 0.0068
             4       1.26 - 2 120 - 160 0.0272 0.049 0.0162
             4       1.26 - 2 160 - 200 -0.0532 0.0688 0.0254
             4       1.26 - 2 200 - 240 0.0365 0.0569 0.0212
             4       1.26 - 2 240 - 280 -0.1655 0.0519 0.0184
             4       1.26 - 2 280 - 320 -0.0186 0.0686 0.0197
             4       1.26 - 2 320 - 360 -0.0775 0.0968 0.0343
                                                                    3

TABLE II: Beam spin asymmetry measurements for first dataset from
experimental period with positive torus polarity.
       Q2 , xB bin −t range ϕ range BSA ∆stat ∆syst
             0       0 - 0.62 80 - 120 0.0555 0.037 0.009
             0       0 - 0.62 120 - 160 0.0378 0.0252 0.0096
             0       0 - 0.62 160 - 200 0.0284 0.031 0.0039
             0       0 - 0.62 200 - 240 -0.0554 0.0288 0.0121
             0       0 - 0.62 240 - 280 -0.0652 0.041 0.0066
             0     0.62 - 1.09 80 - 120 0.0221 0.041 0.0105
             0     0.62 - 1.09 120 - 160 0.0171 0.0222 0.01
             0     0.62 - 1.09 160 - 200 0.042 0.0244 0.009
             0     0.62 - 1.09 200 - 240 -0.0454 0.0245 0.0048
             0     0.62 - 1.09 240 - 280 -0.054 0.0437 0.0129
             0       1.09 - 2 80 - 120 0.0241 0.0351 0.013
             0       1.09 - 2 120 - 160 0.0389 0.0271 0.0071
             0       1.09 - 2 160 - 200 -0.0375 0.0308 0.0138
             0       1.09 - 2 200 - 240 -0.0435 0.028 0.0046
             0       1.09 - 2 240 - 280 0.0026 0.0316 0.0092
             1        0 - 0.6     0 - 40 0.0129 0.0864 0.0244
             1        0 - 0.6    40 - 80 -0.0087 0.0414 0.0198
             1        0 - 0.6   80 - 120 0.0527 0.0206 0.0064
             1        0 - 0.6 120 - 160 0.0355 0.0508 0.0098
             1        0 - 0.6 200 - 240 -0.0694 0.0538 0.0069
             1        0 - 0.6 240 - 280 0.0306 0.0258 0.0075
             1        0 - 0.6 280 - 320 -0.0577 0.0486 0.0148
             1        0 - 0.6 320 - 360 -0.0152 0.0947 0.0515
             1      0.6 - 0.94 80 - 120 0.0721 0.0208 0.0045
             1      0.6 - 0.94 120 - 160 0.0623 0.0293 0.0071
             1      0.6 - 0.94 160 - 200 0.163 0.072 0.0216
             1      0.6 - 0.94 200 - 240 -0.0353 0.0309 0.0112
             1      0.6 - 0.94 240 - 280 0.0074 0.024 0.0062
             1       0.94 - 2 80 - 120 0.0509 0.0211 0.0032
             1       0.94 - 2 120 - 160 0.0422 0.0295 0.0087
             1       0.94 - 2 160 - 200 -0.0251 0.0573 0.028
             1       0.94 - 2 200 - 240 -0.0015 0.0297 0.0142
             1       0.94 - 2 240 - 280 -0.0495 0.0217 0.0047
             2       0 - 0.62    40 - 80 0.111 0.0895 0.011
             2       0 - 0.62 80 - 120 0.1687 0.0622 0.0134
             2       0 - 0.62 120 - 160 -0.0951 0.0734 0.0157
             2       0 - 0.62 160 - 200 0.0849 0.077 0.0213
             2       0 - 0.62 200 - 240 -0.1319 0.0746 0.0132
             2       0 - 0.62 240 - 280 -0.014 0.0735 0.0252
             2     0.62 - 1.02 80 - 120 0.1132 0.0579 0.0157
             2     0.62 - 1.02 120 - 160 0.0049 0.0542 0.0297
             2     0.62 - 1.02 160 - 200 0.0221 0.0577 0.0171
             2     0.62 - 1.02 200 - 240 -0.0482 0.0565 0.0188
             2     0.62 - 1.02 240 - 280 -0.0064 0.0615 0.0154
             2       1.02 - 2 80 - 120 0.0816 0.0535 0.0146
             2       1.02 - 2 120 - 160 0.0543 0.0493 0.0196
             2       1.02 - 2 160 - 200 -0.0728 0.0579 0.0084
             2       1.02 - 2 200 - 240 -0.0734 0.0471 0.0132
             2       1.02 - 2 240 - 280 -0.0819 0.0494 0.0128
             3        0 - 0.7     0 - 40 0.0998 0.0469 0.0146
             3        0 - 0.7    40 - 80 -0.0316 0.0359 0.008
             3        0 - 0.7   80 - 120 0.0225 0.0354 0.0124
             3        0 - 0.7 240 - 280 -0.0044 0.0411 0.0111
             3        0 - 0.7 280 - 320 -0.1586 0.0397 0.0155
             3        0 - 0.7 320 - 360 0.0496 0.0574 0.0242
             3      0.7 - 1.08    0 - 40 -0.0778 0.072 0.0128
             3      0.7 - 1.08 40 - 80 0.0927 0.0404 0.0144
             3      0.7 - 1.08 80 - 120 0.0599 0.0264 0.0051
             3      0.7 - 1.08 120 - 160 0.0735 0.0557 0.0093
             3      0.7 - 1.08 200 - 240 0.0193 0.0678 0.0122
                                                                    4

TABLE II: Beam spin asymmetry measurements for first dataset from
experimental period with positive torus polarity.
       Q2 , xB bin −t range ϕ range BSA ∆stat ∆syst
             3      0.7 - 1.08 240 - 280 -0.0024 0.0307 0.004
             3      0.7 - 1.08 280 - 320 -0.0304 0.0427 0.0211
             3      0.7 - 1.08 320 - 360 0.0218 0.0824 0.0177
             3       1.08 - 2    0 - 40 -0.0424 0.1102 0.0313
             3       1.08 - 2   40 - 80 0.013 0.0439 0.0104
             3       1.08 - 2 80 - 120 0.0439 0.0258 0.0059
             3       1.08 - 2 120 - 160 0.0482 0.042 0.0077
             3       1.08 - 2 200 - 240 -0.0566 0.0469 0.0117
             3       1.08 - 2 240 - 280 0.0072 0.0265 0.0035
             3       1.08 - 2 280 - 320 -0.0517 0.044 0.0189
             4       0 - 0.94    0 - 40 0.0338 0.0762 0.0265
             4       0 - 0.94   40 - 80 0.0517 0.0625 0.0164
             4       0 - 0.94 80 - 120 0.1138 0.065 0.014
             4       0 - 0.94 240 - 280 0.0 0.0799 0.0207
             4       0 - 0.94 280 - 320 -0.071 0.0713 0.0247
             4       0 - 0.94 320 - 360 -0.046 0.0918 0.0459
             4     0.94 - 1.36 0 - 40 0.0846 0.0831 0.0199
             4     0.94 - 1.36 40 - 80 0.0147 0.0655 0.0138
             4     0.94 - 1.36 80 - 120 0.1404 0.0552 0.0293
             4     0.94 - 1.36 120 - 160 0.1132 0.1019 0.0169
             4     0.94 - 1.36 200 - 240 0.1729 0.1158 0.0244
             4     0.94 - 1.36 240 - 280 -0.1932 0.0635 0.017
             4     0.94 - 1.36 280 - 320 -0.047 0.0728 0.027
