   1.166    0.133    0.120  157.508   27.409   22.049    7.446   50.630   30.146   92.198  109.089  131.830
   1.166    0.133    0.170  143.052   17.784   16.015    1.501   27.207   13.780   -4.684   76.790  205.896
   1.166    0.133    0.250  116.123   10.218   10.593  -23.161   15.245   10.423  -75.212   42.111   30.568
   1.166    0.133    0.350   93.038    8.742    3.563   -1.827   12.987    5.902  -31.647   37.489    9.590
   1.166    0.133    0.500   50.672    4.290    5.851    1.593    6.161    3.893  -36.012   19.094   10.561
   1.166    0.133    0.800   36.104    2.470    1.591    1.020    3.108    5.192  -43.048   10.015   14.102
   1.166    0.133    1.250   16.207    1.727    1.801   -1.206    2.433    3.014  -14.541    6.575    5.307
   1.388    0.170    0.120  132.704   15.377   21.474   25.755   19.837   13.959   15.126   53.108   27.366
   1.388    0.170    0.170  154.852   17.991   21.683  -18.731   23.401   29.701   -0.406   57.130    8.130
   1.388    0.170    0.250  100.720    7.946    7.816   10.073   10.032    6.082  -23.503   25.226   26.890
   1.388    0.170    0.350  103.635    7.965    6.242    7.175    9.329    8.685  -81.526   25.602   15.674
   1.388    0.170    0.500   64.752    4.488    2.677    4.040    4.988    2.913  -65.505   15.112   17.013
   1.388    0.170    0.800   38.694    2.353    2.580    5.590    2.830    3.236  -12.397    8.192    4.688
   1.388    0.170    1.250   16.808    1.507    2.089   -1.788    1.890    1.157   -6.214    5.338    3.003
   1.619    0.187    0.250  116.060   14.489   11.497   -6.725   22.381   15.020   11.401   56.495   32.285
   1.619    0.187    0.350   97.544   13.137    8.922  -21.152   20.813    7.085  -23.433   50.447   52.723
   1.619    0.187    0.500   70.393    7.592    3.569   -6.231   10.984    7.543  -23.961   31.936   39.582
   1.619    0.187    0.800   38.278    3.325    1.690   -4.559    4.518    2.226  -45.325   13.033    9.170
   1.619    0.187    1.250   18.233    2.711    2.192   -1.266    3.905    1.688  -16.709   12.056    6.095
   1.770    0.223    0.170   92.526   11.324   11.900   16.991   14.939   11.964   22.666   34.834   30.666
   1.770    0.223    0.250   95.547    6.361    6.641   24.051    7.379    6.139  -31.415   20.714   15.603
   1.770    0.223    0.350  104.088    6.574    4.064    7.460    7.115    5.910  -62.649   20.035   14.073
   1.770    0.223    0.500   77.231    3.935    4.164    2.536    4.478    2.989  -26.720   12.174   18.199
   1.770    0.223    0.800   46.597    2.192    3.179    1.887    2.483    1.887  -16.381    6.743    6.975
   1.770    0.223    1.250   24.346    1.464    1.789    3.046    1.518    1.827  -23.636    4.334    2.836
   1.770    0.223    1.750   12.859    1.655    1.495   -0.917    2.138    1.833   -0.575    5.130    5.174
   1.878    0.271    0.250  136.482   13.705   27.693   27.002   15.353   19.020   62.437   33.036   46.753
   1.878    0.271    0.350  124.809   13.206   11.400   18.463   15.365   14.360   -1.532   31.469  108.890
   1.878    0.271    0.500  103.056    7.048    3.666    6.136    6.718    6.042  -34.751   17.244   31.509
   1.878    0.271    0.800   81.222    4.617    5.058   -2.609    3.982    3.403  -60.962   10.531   10.580
   1.878    0.271    1.250   43.354    3.351    5.568   -4.189    3.423    4.608  -23.450    7.879    7.075
   1.878    0.271    1.750   31.658   10.048    0.000  -12.946    9.080    0.000    9.350   20.558    0.000
   1.954    0.313    0.500  245.199   43.052    0.000    2.454   40.983    0.000  -74.401   91.010    0.000
   1.954    0.313    0.800  122.536   21.315    0.000   -9.005   24.126    0.000  -25.225   45.646    0.000
   1.954    0.313    1.250   99.908   18.046   10.199    6.368   18.428   17.444    8.816   38.166   32.201
