# Model curves of Fig. 5, Zhao et al., PLB 789 (2019) 426 -- read from the vector PDF.
# alpha is the amplitude of the paper's Eq. (2),
#   A_LU = (dsig+ - dsig-)/(dsig+ + dsig-) = alpha sin(phi)/(1 + beta cos(phi) + gamma cos(2phi)),
# with A_LU already divided by the beam polarisation, Eq. (4).  Hence
#   alpha = sqrt(2 eps (1-eps)) * sigma_LT' / (sigma_T + eps sigma_L),  NOT the bare ratio.
# columns: model  channel  Q2  -t(GeV^2)  alpha
#   model:   0 = GK (black),  1 = GGL (red)
#   channel: 0 = eta (solid), 1 = pi0 (dashed)
# Bezier control nodes for the solid curves, polyline vertices for the dashed ones;
# interpolate, do not treat as data points.  Digitising accuracy ~0.003 in alpha.
# The GGL eta curve is absent in the two low-Q2 panels -- it is not drawn in the figure.
   0.0000    0.0000    1.5100    0.0712    0.0001
   0.0000    0.0000    1.5100    0.1213    0.0021
   0.0000    0.0000    1.5100    0.4203   -0.0015
   0.0000    0.0000    1.5100    1.0716   -0.0309
   0.0000    1.0000    1.5100    0.0512    0.0001
   0.0000    1.0000    1.5100    0.1013   -0.0229
   0.0000    1.0000    1.5100    0.1503   -0.0209
   0.0000    1.0000    1.5100    0.2003   -0.0149
   0.0000    1.0000    1.5100    0.2503   -0.0099
   0.0000    1.0000    1.5100    0.3014   -0.0039
   0.0000    1.0000    1.5100    0.3504    0.0011
   0.0000    1.0000    1.5100    0.4004    0.0061
   0.0000    1.0000    1.5100    0.4514    0.0111
   0.0000    1.0000    1.5100    0.5014    0.0151
   0.0000    1.0000    1.5100    0.5504    0.0201
   0.0000    1.0000    1.5100    0.6004    0.0241
   0.0000    1.0000    1.5100    0.6505    0.0271
   0.0000    1.0000    1.5100    0.7015    0.0311
   0.0000    1.0000    1.5100    0.7515    0.0351
   0.0000    1.0000    1.5100    0.8005    0.0381
   0.0000    1.0000    1.5100    0.8506    0.0411
   0.0000    1.0000    1.5100    0.9005    0.0441
   0.0000    1.0000    1.5100    0.9516    0.0471
   0.0000    1.0000    1.5100    1.0006    0.0501
