# GK prediction for the eta beam-spin asymmetry alpha, read from the black solid
# curves of figure 5 of PLB 789 426 (2019).   Q2  -t  alpha
   1.5100    0.0712    0.0001
   1.5100    0.1213    0.0021
   1.5100    0.4203   -0.0015
   1.5100    1.0716   -0.0309
   1.7900    0.0684    0.0001
   1.7900    0.1175    0.0021
   1.7900    0.4186    0.0006
   1.7900    1.0677   -0.0329
   2.2600    0.2503    0.0096
   2.2600    0.3003    0.0164
   2.2600    0.3504    0.0184
   2.2600    0.4670    0.0207
   2.2600    0.8005    0.0155
   2.2600    0.9186    0.0150
   2.2600    1.2507    0.0067
   3.1000    0.2865    0.0096
   3.1000    0.3365    0.0174
   3.1000    0.3865    0.0204
   3.1000    0.5046    0.0245
   3.1000    0.8366    0.0184
   3.1000    0.9538    0.0168
   3.1000    1.2868    0.0086
