   1.140    0.131    0.120  320.016   37.784   55.369  -46.477   64.763  176.613 -250.011  107.489  162.507
   1.150    0.132    0.170  296.547   37.811   70.831  -87.523   65.657  145.104 -295.521  105.261  217.592
   1.150    0.132    0.250  254.487   17.473   14.297  -52.450   30.439   46.206 -240.942   53.246   21.716
   1.150    0.132    0.350  180.769   12.509   31.731  -55.404   22.195   47.647 -182.376   42.280   67.245
   1.150    0.132    0.490  122.440    4.525    9.694  -17.941    7.761    6.579  -81.088   18.396    8.421
   1.150    0.132    0.770   64.413    1.956    7.710    2.423    3.040    4.080  -41.218    7.703   16.570
   1.160    0.133    1.710   17.706    1.995    1.591    4.417    1.240    2.054  -21.377    6.738    7.764
   1.380    0.169    0.120  340.657   12.424   33.398    7.714   18.099   12.180 -193.706   40.091   47.666
   1.380    0.169    0.170  349.629   14.257   22.927   -8.427   21.051   88.486 -249.056   44.291   53.441
   1.380    0.169    0.250  316.581   11.423   15.303    7.399   17.454    6.620 -207.402   34.164   50.310
   1.380    0.169    0.350  243.687    9.656   12.472    8.426   14.357   11.896 -160.693   31.061   26.257
   1.380    0.169    0.490  160.737    4.916   11.606  -19.761    6.877   15.398 -112.888   17.194   18.642
   1.380    0.169    0.770   81.028    3.208    3.983    7.713    4.310    7.952  -51.186    9.319    5.699
   1.380    0.169    1.210   39.055    1.677    3.748    3.519    1.637    1.671  -40.966    4.433    3.012
   1.380    0.170    1.710   15.237    1.364    1.494    0.753    0.798    1.488  -13.501    3.983    5.063
   1.610    0.186    0.120  263.718   16.236   43.953    7.595   27.210   25.912 -186.453   62.213   73.546
   1.610    0.186    0.180  329.829   23.324   54.493   24.551   40.398   69.561 -110.473   80.190   93.312
   1.610    0.187    0.250  264.869   14.163    6.718   -9.133   24.840    0.000 -179.087   51.713   42.939
   1.610    0.187    0.350  215.086   11.441   10.610  -20.757   19.610   16.309 -148.786   44.533   47.861
   1.610    0.187    0.490  154.492    6.072   10.635   15.004   10.088    8.252  -62.904   24.576   20.607
   1.610    0.187    0.780   80.256    3.112    6.915    3.691    4.754   12.524  -33.197   12.162   29.877
   1.610    0.187    1.210   33.948    2.290    2.952   -0.339    3.321    5.759  -25.392    6.319    6.730
   1.610    0.187    1.710   15.868    1.930    1.587    2.211    1.765    2.115  -12.171    6.194    4.589
   1.740    0.223    0.250  305.177    6.407    8.865    6.306    8.121    8.041 -236.407   19.641   44.836
   1.750    0.223    0.120  284.638    7.584   23.291   11.737    9.427    8.694  -73.188   22.642   13.214
   1.750    0.223    0.170  329.243    8.644   25.229   29.756   10.443    7.056 -239.674   26.873   25.644
   1.750    0.224    0.350  250.602    6.712   12.506   23.683    8.754    3.689 -189.005   21.346   20.656
   1.750    0.224    0.490  178.081    4.797    8.305   -1.553    6.109    1.596 -121.644   14.488   20.973
   1.750    0.224    0.780   99.355    2.312    5.250    6.168    3.014    3.352  -64.525    7.061   12.694
   1.750    0.224    1.220   43.743    1.342    2.949    5.324    1.261    1.859  -22.829    3.988    6.461
   1.750    0.224    1.720   18.772    0.989    4.347    2.101    0.846    3.001  -12.508    2.941    5.491
   1.870    0.270    0.120  336.780   72.418  106.352   -0.863   84.669   62.096 -148.830  101.595  100.212
   1.870    0.271    0.180  428.947   53.144   88.341    5.428   63.359   57.383   12.948   90.099  135.149
   1.870    0.271    0.250  401.976   18.991   31.221   14.420   20.857   14.420 -232.217   33.438   38.869
   1.870    0.271    0.350  363.824   13.437   25.293   21.030   12.523   15.578 -294.777   27.050   41.249
   1.870    0.271    0.490  252.026    7.160   12.626   18.206    6.873    4.425 -173.951   18.023   14.583
   1.870    0.271    0.780  147.789    3.990    7.594    2.059    4.023    1.833  -65.447   11.553    5.103
   1.870    0.271    1.220   76.097    2.928    5.386   -7.425    2.227    3.647  -39.908    7.071    6.140
   1.870    0.272    1.720   38.764    2.078    3.461   -7.292    1.873    1.979  -23.251    4.553    3.858
   1.950    0.313    0.350  460.569   43.639   80.355  -16.967   33.190   23.493 -184.684   74.885   58.534
   1.950    0.313    0.490  330.952   22.597   20.501   15.120   14.774   24.480 -147.286   48.278   45.238
   1.950    0.313    0.780  196.649   11.912   12.656  -15.110    9.056    7.895  -72.722   29.652   24.965
   1.960    0.313    1.220  126.472    9.462   16.615  -26.365    8.075    7.123  -41.980   21.801   22.605
   2.100    0.238    0.120  248.437   31.437   77.998   71.954   49.690   99.278  172.094  123.815  209.589
