# Q2 xB t eps npts chi2ndf sigU err sigTT err sigLT err
   1.1500    0.1320    0.1200    0.3507   14.0000    2.6881  317.2021   37.4770 -250.2910  106.2736  -48.7572   64.0503
   1.1500    0.1320    0.1750    0.3507   14.0000    0.9673  294.1669   37.5032 -295.2385  104.2914  -89.0589   65.0245
   1.1500    0.1320    0.2500    0.3507   16.0000    0.9858  253.3033   17.3509 -240.9925   52.6891  -53.5247   30.1282
   1.1500    0.1320    0.3500    0.3507   15.0000    0.9122  180.3191   12.4611 -181.8418   41.9375  -55.6297   22.0370
   1.1500    0.1320    0.4900    0.3507   18.0000    1.8668  122.2248    4.5091  -81.1560   18.2812  -18.1434    7.7133
   1.1500    0.1320    0.7700    0.3507   20.0000    1.8445   64.3245    1.9535  -41.8189    7.7129    2.2908    3.0434
   1.1500    0.1320    1.2100    0.3507   13.0000    1.8761   21.8780    6.8330  -50.0474   14.6353   19.3094   11.2569
   1.1500    0.1320    1.7100    0.3507   11.0000    1.3060   17.7762    2.0036  -21.4430    6.7818    4.4694    1.2462
   1.3800    0.1690    0.1200    0.4336   18.0000    1.4310  338.3875   12.3017 -194.4030   39.5841    5.7513   17.8363
   1.3800    0.1690    0.1750    0.4336   18.0000    1.3852  347.3209   14.1164 -249.5152   43.7629  -10.3151   20.7644
   1.3800    0.1690    0.2500    0.4336   16.0000    1.2720  315.3914   11.3611 -207.8076   33.8911    6.1406   17.3089
   1.3800    0.1690    0.3500    0.4336   16.0000    1.3683  242.9531    9.6160 -160.8458   30.7970    7.5766   14.2418
   1.3800    0.1690    0.4900    0.4336   18.0000    0.8243  160.3557    4.8976 -113.0159   17.0368  -20.1210    6.8225
   1.3800    0.1690    0.7700    0.4336   19.0000    2.2498   80.8240    3.2019  -52.1705    9.3282    7.5252    4.3193
   1.3800    0.1690    1.2100    0.4336   16.0000    0.7375   39.0777    1.6781  -41.6146    4.4663    3.4700    1.6439
   1.3800    0.1690    1.7100    0.4336   16.0000    3.0361   15.2782    1.3677  -13.7276    4.0447    0.7713    0.8062
   1.4800    0.2040    0.2500    0.5591    9.0000    0.8094  708.8098  244.0627  165.7125  507.8126 -212.7530  220.4923
   1.6100    0.1860    0.1200    0.3553   18.0000    1.0359  261.8910   16.0704 -186.2434   61.3053    5.8984   26.7852
   1.6100    0.1860    0.1750    0.3553   16.0000    0.7467  327.6165   23.1251 -112.2554   79.5674   22.4864   40.0166
   1.6100    0.1860    0.2500    0.3553   16.0000    1.4886  263.9309   14.0882 -178.8660   51.1763  -10.0636   24.6040
   1.6100    0.1860    0.3500    0.3553   16.0000    1.6740  214.5001   11.3953 -149.7612   44.4524  -21.4379   19.5414
   1.6100    0.1860    0.4900    0.3553   16.0000    0.5359  154.1509    6.0540  -63.8164   24.6146   14.5876   10.0793
   1.6100    0.1860    0.7700    0.3553   20.0000    1.2810   80.0992    3.1050  -33.8512   12.1530    3.4894    4.7527
   1.6100    0.1860    1.2100    0.3553   16.0000    2.1777   33.9407    2.2902  -25.7104    6.3343   -0.3929    3.3271
   1.6100    0.1860    1.7100    0.3553   11.0000    0.7985   15.9090    1.9341  -12.3471    6.2641    2.2353    1.7775
   1.7500    0.2230    0.1200    0.4763   20.0000    1.0577  283.3949    7.5494  -73.8028   22.4881   10.9027    9.3629
   1.7500    0.2230    0.1750    0.4763   20.0000    1.3379  327.8414    8.6056 -239.8839   26.7461   28.8425   10.3858
   1.7500    0.2230    0.2500    0.4763   20.0000    2.3848  303.9780    6.3770 -238.0006   19.4990    5.0326    8.0650
   1.7500    0.2230    0.3500    0.4763   18.0000    1.5438  249.7600    6.6837 -190.0659   21.2061   22.6887    8.6976
   1.7500    0.2230    0.4900    0.4763   18.0000    1.5531  177.5659    4.7827 -122.8538   14.4335   -2.1286    6.0903
   1.7500    0.2230    0.7700    0.4763   18.0000    1.6292   99.1125    2.3076  -65.6694    7.0646    5.7857    3.0108
   1.7500    0.2230    1.2100    0.4763   20.0000    0.9299   43.6929    1.3409  -23.4879    3.9675    5.0969    1.2541
   1.7500    0.2230    1.7100    0.4763   19.0000    3.2093   18.7662    0.9891  -12.6981    2.9473    2.0617    0.8467
   1.8700    0.2690    0.1200    0.5981   13.0000    0.4140  335.9628   72.2383 -147.3642  100.5029   -1.1800   83.9996
   1.8700    0.2690    0.1750    0.5981   14.0000    0.3355  427.8034   53.0238   12.5926   89.7826    5.0498   63.1853
   1.8700    0.2690    0.2500    0.5981   18.0000    1.4275  401.1064   18.9684 -232.7948   33.2964   13.7861   20.8055
   1.8700    0.2690    0.3500    0.5981   18.0000    1.8842  363.1078   13.4200 -295.8749   26.9309   20.1459   12.4819
   1.8700    0.2690    0.4900    0.5981   18.0000    1.3690  251.4887    7.1494 -176.0089   17.9133   17.1673    6.8247
   1.8700    0.2690    0.7700    0.5981   18.0000    1.4415  147.4450    3.9838  -66.8571   11.4895    1.3848    3.9920
   1.8700    0.2690    1.2100    0.5981   20.0000    1.4440   75.9137    2.9218  -41.7991    6.9967   -8.0306    2.2035
   1.8700    0.2690    1.7100    0.5981   18.0000    0.8353   38.6237    2.0736  -23.7867    4.5525   -7.4711    1.8722
   1.9500    0.3110    0.1750    0.6748    9.0000    0.6530 -135.1845 1727.3126 -393.1243 1315.9294  529.2769 1691.2775
   1.9500    0.3110    0.2500    0.6748    9.0000    0.7954  453.3968  640.8529 -314.9844  502.0824    8.1777  632.6573
   1.9500    0.3110    0.3500    0.6748   13.0000    0.7013  459.9340   43.5857 -185.7029   74.6316  -17.5392   33.1238
   1.9500    0.3110    0.4900    0.6748   15.0000    1.2863  330.4630   22.5628 -149.3668   48.0450   14.2320   14.7113
   1.9500    0.3110    0.7700    0.6748   15.0000    1.1879  196.1695   11.8906  -74.0881   29.5469  -15.7342    9.0076
   1.9500    0.3110    1.2100    0.6748   15.0000    1.6134  125.9801    9.4361  -42.8047   21.6758  -26.7499    8.0298
   2.1000    0.2380    0.1200    0.3134   13.0000    0.4007  246.8052   31.1881  169.6956  122.9932   70.4286   49.3113
   2.1000    0.2380    0.1750    0.3134   15.0000    1.5586  219.4130   27.9835   -9.6368  123.0226  -19.8676   48.5480
   2.1000    0.2380    0.2500    0.3134   15.0000    1.4174  230.3031   19.2362   38.1050   80.7700   47.7149   34.6052
   2.1000    0.2380    0.3500    0.3134   16.0000    1.8770  209.0651   16.9234   77.8847   70.4339   84.4525   30.2913
   2.1000    0.2380    0.4900    0.3134   16.0000    1.4999  128.3820    8.5277 -110.9396   41.1446  -56.8418   14.2148
   2.1000    0.2380    0.7700    0.3134   14.0000    1.0410   89.6746    8.7013   15.2499   34.5488   -9.9583   12.5583
   2.1000    0.2380    1.2100    0.3134   11.0000    0.8584   38.6574   20.6990  -26.8408   43.3184   -5.7726   34.9381
   2.2100    0.2750    0.1200    0.4395   16.0000    1.0536  234.8043   24.6789   26.3267   55.9196  -44.9315   34.6754
   2.2100    0.2750    0.1750    0.4395   20.0000    1.3283  250.9488   12.1066  -13.1750   36.5469   -7.9224   16.2224
   2.2100    0.2750    0.2500    0.4395   20.0000    1.1276  260.5476    9.5517  -58.3839   27.8857  -11.7653   13.1156
   2.2100    0.2750    0.3500    0.4395   18.0000    0.6157  232.8044   10.5182 -111.4439   32.2314   24.3748   14.0154
   2.2100    0.2750    0.4900    0.4395   18.0000    0.9701  186.1970    6.8751  -66.5990   21.2493   34.2300    9.1255
   2.2100    0.2750    0.7700    0.4395   18.0000    1.6742   98.4689    2.9038  -73.5846    9.9213    4.0490    4.1315
   2.2100    0.2750    1.2100    0.4395   19.0000    0.5046   48.8785    1.9786  -26.0386    6.6829    4.1469    2.2574
   2.2100    0.2750    1.7100    0.4395   15.0000    1.6058   20.4831    1.4991  -10.7866    4.8132   -0.4122    1.7487
   2.2400    0.3320    0.1750    0.6209   15.0000    1.1158  326.0113   43.2629 -110.5042   77.0655   11.7866   51.2723
   2.2400    0.3320    0.2500    0.6209   18.0000    1.2277  385.0409   18.2648  -53.4968   32.9804  -10.7790   19.7988
   2.2400    0.3320    0.3500    0.6209   20.0000    0.8307  338.5537   11.4416 -152.0877   22.8664   35.9311   10.6069
   2.2400    0.3320    0.4900    0.6209   20.0000    2.3339  286.1979    6.3498 -141.7699   13.8752   20.8522    5.2970
   2.2400    0.3320    0.7700    0.6209   20.0000    1.9055  195.2703    3.7231  -87.7880    9.2265   -7.2354    3.1855
   2.2400    0.3320    1.2100    0.6209   20.0000    1.2697  107.1204    2.5179  -55.2905    6.2554  -15.8159    2.2340
   2.2500    0.3400    1.7100    0.6275   16.0000    1.6223   52.4837    2.2741  -25.7419    4.9438  -13.2834    2.9292
   2.3300    0.4000    0.2500    0.7115   11.0000    0.6413  161.8190  198.7398 -400.6929  253.6215  316.3928  221.1327
   2.3300    0.4000    0.3500    0.7115   15.0000    1.3980  465.9568   47.7747  -24.7271  103.9405   -8.5591   59.6682
   2.3300    0.4000    0.4900    0.7115   15.0000    0.9393  465.6247   20.1778  -20.8466   49.8639  -24.8600   22.3467
   2.3300    0.4000    0.7700    0.7115   16.0000    1.7200  367.2060   10.7639 -157.4788   25.1755  -26.2298   10.2706
   2.3300    0.4000    1.2100    0.7115   18.0000    2.3363  186.0569    7.2165  -76.0654   15.5285  -39.4848    7.7798
   2.3300    0.4000    1.7100    0.7115   15.0000    1.1023   85.9108    6.3569  -18.4105   11.0180  -23.2679    7.2423
   2.5900    0.2890    0.4900    0.2833    8.0000    0.5493  131.7344   78.2277  -75.7325  277.3799  -59.1239  113.6698
   2.5900    0.2890    0.7700    0.2833    8.0000    1.9141   87.0281   51.2534 -110.0416  166.8505  -53.0391   79.9668
   2.5900    0.2890    1.2100    0.2833    8.0000    0.5441  253.8048  123.6215  444.3581  245.3705 -367.5016  211.6529
   2.7100    0.3360    0.1750    0.4402   13.0000    1.3436  226.6338   34.7224   55.3537   83.6923  -75.4363   49.0608
   2.7100    0.3360    0.2500    0.4402   20.0000    1.1324  212.8258    7.9416  -75.8791   26.5142   -8.0089    9.9586
   2.7100    0.3360    0.3500    0.4402   20.0000    2.0737  215.0531    7.8793  -98.7627   26.7927   11.5428    9.5561
   2.7100    0.3360    0.4900    0.4402   20.0000    2.0109  178.4284    5.8308 -125.5742   18.5324   11.7829    7.2014
