# Q2 xB t eps npts chi2ndf sigU err sigTT err sigLT err
   2.3460    0.4010    0.5000    0.7093   14.0000    1.3701  214.0785   33.8317  -48.2049   54.2509  -39.1604   37.3209
   2.3460    0.4010    0.8000    0.7093   16.0000    1.8730  164.2411   14.5457    6.3933   27.4359  -27.1586   15.0558
   2.3460    0.4010    1.2500    0.7093   15.0000    2.0948  113.3121   11.9768  -30.2904   20.9623  -10.1543   12.8596
   2.3460    0.4010    1.7500    0.7093   11.0000    0.7120   82.9576   24.4225  -12.8704   38.1864    1.1357   27.7836
   2.7340    0.3390    0.3500    0.4294   13.0000    1.2888   93.6488   20.6355   47.8314   50.7572  -29.4159   30.1579
   2.7340    0.3390    0.5000    0.4294   19.0000    1.3542   78.5301    6.0646   19.1112   19.8148   -4.1666    8.4641
   2.7340    0.3390    0.8000    0.4294   20.0000    1.1125   58.4012    3.3768   -9.2449   11.0740   12.3990    4.3635
   2.7340    0.3390    1.2500    0.4294   17.0000    2.4555   28.4436    2.4239   -4.5485    7.4998   -0.2916    3.2483
   2.7340    0.3390    1.7500    0.4294   16.0000    1.7314   18.6250    2.1631    2.5810    6.2926   -5.0208    3.0296
   2.7670    0.4230    0.5000    0.6241   15.0000    1.4528  163.6636   20.5755   26.9527   36.5412  -53.6226   23.3834
   2.7670    0.4230    0.8000    0.6241   16.0000    2.2035  100.0980    7.4242  -17.4620   16.8611   11.7930    8.4064
   2.7670    0.4230    1.2500    0.6241   16.0000    2.7257   67.1216    5.4808  -30.1054   12.5114    7.6159    6.3770
   2.7670    0.4230    1.7500    0.6241   15.0000    0.6533   44.7865    6.2822    8.6766   11.8246   -4.5216    7.5886
   3.2460    0.4300    0.5000    0.4842   13.0000    0.7672  107.8919   20.5724   21.3181   43.1506  -22.5159   27.2160
   3.2460    0.4300    0.8000    0.4842   17.0000    1.2376   61.7179    5.3133  -23.8952   15.0111    9.7335    7.0167
   3.2460    0.4300    1.2500    0.4842   18.0000    1.6221   46.7505    4.1640   -0.8348   11.9468   -3.7995    5.5525
   3.2460    0.4300    1.7500    0.4842   12.0000    0.8947   30.3681    4.9140    6.2471   11.9786   -7.5656    7.0096
   3.2900    0.4930    1.2500    0.5996    9.0000    1.3769   79.4817   26.4297  -41.8122   59.3750   18.9716   31.2896
   3.2900    0.4930    1.7500    0.5996   10.0000    0.8164  127.0948   38.0136   16.2593   77.0470   -7.2323   41.9994
   3.6880    0.4500    0.5000    0.3835    8.0000    0.4058  121.9431  266.2754   46.6043  401.8454  -42.6092  391.2267
   3.6880    0.4500    0.8000    0.3835   12.0000    0.9068   67.6678   11.6698    7.0206   48.1027  -12.4609   18.4145
   3.6880    0.4500    1.2500    0.3835    9.0000    1.0205   43.3217   33.5209  -39.0911   73.4440   -0.3518   53.3298
   3.7690    0.5130    0.8000    0.5012   12.0000    1.8548   71.0506   42.7344  -39.1300   76.7149   14.9894   57.8854
   3.7690    0.5130    1.2500    0.5012   13.0000    1.3406   56.0444   14.1966  -30.0873   35.1662   11.3515   20.3118
   3.7690    0.5130    1.7500    0.5012   11.0000    0.8754   56.6806   17.4434  -17.9391   34.6262   -3.6687   24.0380
   4.2350    0.5370    1.2500    0.4184   11.0000    0.8193   99.9350   30.0154   49.0548   73.5473  -46.9545   45.3129
