# Q2 xB t eps npts chi2ndf sigU err sigTT err sigLT err
   2.1000    0.2380    0.3500    0.3134   16.0000    1.8762  209.7561   16.9902   79.4265   70.6283   85.4501   30.4117
   2.1000    0.2380    0.4900    0.3134   16.0000    1.4995  128.6376    8.5505 -110.4756   41.2246  -56.5647   14.2550
   2.1000    0.2380    0.7700    0.3134   14.0000    1.0447   89.9246    8.7203   16.1087   34.6436   -9.8139   12.5661
   2.1000    0.2380    1.2100    0.3134   11.0000    0.8573   38.9885   20.7366  -25.8896   43.4487   -6.1622   34.9944
   2.2100    0.2750    0.1200    0.4395   16.0000    1.0532  235.6620   24.7514   26.7535   56.1216  -44.8388   34.7757
   2.2100    0.2750    0.1750    0.4395   20.0000    1.3285  251.8022   12.1424  -13.0783   36.6745   -7.5739   16.2714
   2.2100    0.2750    0.2500    0.4395   20.0000    1.1282  261.3190    9.5742  -57.0999   27.9810  -11.1044   13.1440
   2.2100    0.2750    0.3500    0.4395   18.0000    0.6104  233.6417   10.5490 -109.5305   32.3619   25.1325   14.0428
   2.2100    0.2750    0.4900    0.4395   18.0000    0.9681  186.7910    6.8927  -65.1409   21.3199   34.9046    9.1477
   2.2100    0.2750    0.7700    0.4395   18.0000    1.6752   98.7120    2.9094  -72.7746    9.9651    4.4597    4.1497
   2.2100    0.2750    1.2100    0.4395   19.0000    0.5169   48.9940    1.9813  -25.1157    6.7392    4.4679    2.2716
   2.2100    0.2750    1.7100    0.4395   15.0000    1.6055   20.5381    1.5007  -10.5506    4.8273   -0.3345    1.7523
   2.2400    0.3320    0.1750    0.6209   15.0000    1.1157  326.5778   43.3290 -110.5334   77.2095   11.9185   51.3528
   2.2400    0.3320    0.2500    0.6209   18.0000    1.2279  385.6771   18.2843  -53.0038   33.0400  -10.5257   19.8203
   2.2400    0.3320    0.3500    0.6209   20.0000    0.8306  339.1210   11.4535 -151.3106   22.9146   36.4099   10.6207
   2.2400    0.3320    0.4900    0.6209   20.0000    2.3193  286.7261    6.3576 -140.3248   13.9231   21.5302    5.3106
   2.2400    0.3320    0.7700    0.6209   20.0000    1.8631  195.7810    3.7296  -85.5427    9.2989   -6.4055    3.2038
   2.2400    0.3320    1.2100    0.6209   20.0000    1.2600  107.6048    2.5259  -53.8983    6.3209  -15.2666    2.2518
   2.2500    0.3400    1.7100    0.6275   16.0000    1.5576   53.0426    2.2884  -24.6960    4.9920  -13.0802    2.9402
   2.3300    0.4000    0.2500    0.7115   11.0000    0.6413  162.0526  199.0194 -401.2414  253.9867  316.8679  221.4451
   2.3300    0.4000    0.3500    0.7115   15.0000    1.3981  466.7346   47.8334  -24.3132  104.1117   -8.3776   59.7460
   2.3300    0.4000    0.4900    0.7115   15.0000    0.9401  466.5678   20.2020  -19.5679   49.9793  -24.5783   22.3768
   2.3300    0.4000    0.7700    0.7115   16.0000    1.7047  368.3041   10.7837 -155.4754   25.2891  -25.7016   10.2905
   2.3300    0.4000    1.2100    0.7115   18.0000    2.2986  187.3206    7.2487  -73.8958   15.6761  -39.1229    7.8053
   2.3300    0.4000    1.7100    0.7115   15.0000    1.0873   87.2029    6.4276  -16.7473   11.1758  -23.0188    7.2797
   2.5900    0.2890    0.4900    0.2833    8.0000    0.5492  132.1946   78.4012  -74.5457  278.0892  -59.0409  113.8332
   2.5900    0.2890    0.7700    0.2833    8.0000    1.9148   87.2394   51.3208 -109.5526  167.1253  -52.9997   80.0440
   2.5900    0.2890    1.2100    0.2833    8.0000    0.5447  255.8887  124.0887  449.2341  246.4823 -370.7352  212.4320
   2.7100    0.3360    0.1750    0.4402   13.0000    1.3436  227.1465   34.7924   55.6528   83.8982  -75.4309   49.1572
   2.7100    0.3360    0.2500    0.4402   20.0000    1.1323  213.2612    7.9570  -75.5729   26.5715   -7.7328    9.9811
   2.7100    0.3360    0.3500    0.4402   20.0000    2.0761  215.5122    7.8931  -98.1137   26.8596   12.0035    9.5804
   2.7100    0.3360    0.4900    0.4402   20.0000    1.9992  178.8884    5.8405 -124.1241   18.6143   12.4315    7.2235
   2.7100    0.3360    0.7700    0.4402   19.0000    0.7743  107.6059    3.5542 -102.1749   13.2177   -0.9739    4.5133
   2.7100    0.3360    1.2100    0.4402   13.0000    2.7476   50.9512    2.9593  -37.0979   12.3519    6.8165    2.9163
   2.7100    0.3360    1.7100    0.4402    8.0000    1.8622   32.4584    5.5759  -31.2238   19.2268   -2.9795    2.9377
   2.7100    0.3450    1.7100    0.4505   10.0000    0.3030   30.9522    4.9617   -7.8042   14.1058   -9.5490    8.3170
   2.7300    0.4060    0.2500    0.6028   11.0000    1.9392  578.5548  168.5439  293.9134  190.1047 -336.5203  185.4175
   2.7400    0.4220    0.3500    0.6289   14.0000    1.3510  444.3137   63.8628  225.2620   90.2740 -174.1205   73.8684
   2.7400    0.4220    0.4900    0.6289   16.0000    0.9018  317.6763   19.0568  -60.4796   39.2913  -10.3296   23.0585
   2.7400    0.4220    0.7700    0.6289   19.0000    2.0882  227.2645    6.7767  -61.9022   16.7361    1.2055    6.2456
   2.7400    0.4220    1.2100    0.6289   18.0000    0.9901  136.7325    4.8372  -21.2765   12.3765  -27.4508    5.5378
   2.7400    0.4220    1.7100    0.6289   14.0000    0.9731   66.9222    4.4873   -6.0185    9.3281  -13.7503    5.2435
   3.1200    0.3620    0.2500    0.3289   10.0000    0.2946  242.3085   43.3224  254.5831  178.8245  103.7641   54.1233
   3.1200    0.3620    0.3500    0.3289   12.0000    1.4055  213.2039   32.0497   23.7337  113.4711   -3.4046   51.6308
   3.1200    0.3620    0.4900    0.3289   16.0000    0.7809  162.2371   13.6928  -24.8284   69.6589   -3.2888   21.9691
   3.1200    0.3620    0.7700    0.3289   10.0000    1.6348  121.5774   19.5559   30.0355   96.0193  -40.9068   24.4167
   3.2200    0.4070    0.2500    0.4318   12.0000    1.9314  414.7921   88.1718  324.9464  148.8606 -318.5542  122.0314
   3.2200    0.4270    0.3500    0.4931   17.0000    1.5029  273.6178   21.4193   64.2074   46.0845  -79.2756   28.0008
   3.2200    0.4270    0.4900    0.4931   18.0000    1.1304  197.6906   11.8377  -46.7804   29.1913    7.4439   16.1314
   3.2200    0.4270    0.7700    0.4931   18.0000    1.2741  135.1508    6.0899  -79.0797   16.9456   12.3210    7.7464
   3.2200    0.4270    1.2100    0.4931   18.0000    1.5988   73.5665    3.6591  -77.9780   10.5759    4.1038    4.0877
   3.2200    0.4270    1.7100    0.4931   15.0000    1.1159   63.9843    4.8972   33.3411   14.0492   17.7893    5.6378
   3.2900    0.4960    0.4900    0.6024   10.0000    1.1755  696.2653  219.4237  486.8521  231.0930 -388.6415  238.1708
   3.2900    0.4960    0.7700    0.6024   13.0000    1.7125  152.9312   33.5639 -170.4614   70.1797   96.9293   43.7275
   3.2900    0.4960    1.2100    0.6024   11.0000    0.9356  136.4775   16.2441  -57.6426   43.7742  -13.9379   22.4220
   3.2900    0.4960    1.7100    0.6024    9.0000    0.4737   81.6521   32.4825  -50.6522   70.0362   -3.2457   23.2997
   3.6700    0.4480    0.3500    0.3873   11.0000    1.1843  273.1704   99.3686   50.6715  185.2358 -145.7234  150.6663
   3.6700    0.4480    0.4900    0.3873   14.0000    0.8558  181.6955   25.4361  -39.7595   65.4387  -33.3368   38.9574
   3.6700    0.4480    0.7700    0.3873   10.0000    1.9501  141.2848   35.0397    3.9957  100.3236  -23.5299   34.3440
   3.6700    0.4480    1.2100    0.3873   10.0000    1.9531   74.9263   14.5921  -25.7581   47.5903    0.8094   17.3682
   3.6700    0.4480    1.7100    0.3873   10.0000    1.3928   46.2170    6.7712  -28.4267   26.6832  -15.3110    9.3847
   3.7500    0.5090    0.4900    0.5051   12.0000    1.2298   83.8847   70.0151 -220.4846  100.3036  163.3897   90.3433
   3.7500    0.5090    0.7700    0.5051   14.0000    1.0706  185.3738   36.4461  -42.7787   55.8073   23.2859   45.3048
   3.7500    0.5090    1.2100    0.5051   14.0000    0.2218  128.7874   13.0297  -20.6101   36.3314   -0.1065   14.2945
   3.7500    0.5090    1.7100    0.5051   12.0000    2.2336   48.1171    9.8084  -66.6209   25.5274   15.3452   12.4062
   4.1800    0.5250    0.4900    0.4077   10.0000    2.3404  337.7880  189.5235  185.2695  273.1007 -282.3207  268.0117
   4.2200    0.5380    0.7700    0.4232   13.0000    1.0453  175.0169   41.7987  -34.5768   72.8662  -29.2181   59.8977
   4.2200    0.5380    1.2100    0.4232   11.0000    0.9323  204.8252   57.1009   71.2183   82.9113 -142.0728   78.0105
