   1.166    0.133    0.120  157.429   27.399   22.038    7.405   50.614   29.982   92.085  109.043  131.669
   1.166    0.133    0.170  142.994   17.778   16.009    1.459   27.196   13.393   -4.716   76.756  207.276
   1.166    0.133    0.250  116.102   10.216   10.591  -23.174   15.242   10.428  -75.226   42.102   30.574
   1.166    0.133    0.350   93.034    8.742    3.563   -1.835   12.986    5.929  -31.671   37.487    9.597
   1.166    0.133    0.500   50.679    4.291    5.851    1.596    6.162    3.901  -36.020   19.097   10.563
   1.166    0.133    0.800   36.121    2.471    1.592    1.029    3.109    5.237  -43.061   10.020   14.106
   1.166    0.133    1.250   16.223    1.728    1.803   -1.198    2.436    2.995  -14.546    6.581    5.309
   1.388    0.170    0.120  132.642   15.370   21.464   25.717   19.828   13.938   15.087   53.084   27.295
   1.388    0.170    0.170  154.790   17.984   21.675  -18.751   23.390   29.733   -0.423   57.105    8.458
   1.388    0.170    0.250  100.693    7.944    7.814   10.047   10.028    6.066  -23.541   25.219   26.933
   1.388    0.170    0.350  103.621    7.964    6.241    7.158    9.327    8.665  -81.554   25.599   15.680
   1.388    0.170    0.500   64.753    4.488    2.677    4.037    4.988    2.911  -65.523   15.112   17.018
   1.388    0.170    0.800   38.706    2.354    2.580    5.597    2.831    3.241  -12.401    8.194    4.689
   1.388    0.170    1.250   16.821    1.508    2.090   -1.782    1.891    1.153   -6.216    5.342    3.005
   1.619    0.187    0.250  116.026   14.485   11.494   -6.753   22.375   15.083   11.354   56.479   32.153
   1.619    0.187    0.350   97.530   13.136    8.920  -21.166   20.810    7.090  -23.471   50.439   52.809
   1.619    0.187    0.500   70.393    7.592    3.569   -6.236   10.984    7.549  -23.979   31.936   39.612
   1.619    0.187    0.800   38.287    3.326    1.691   -4.556    4.518    2.225  -45.339   13.037    9.173
   1.619    0.187    1.250   18.245    2.713    2.193   -1.260    3.907    1.680  -16.714   12.064    6.097
   1.770    0.223    0.170   92.486   11.320   11.895   16.969   14.933   11.949   22.644   34.821   30.637
   1.770    0.223    0.250   95.516    6.359    6.639   24.024    7.376    6.132  -31.441   20.708   15.616
   1.770    0.223    0.350  104.066    6.572    4.064    7.437    7.113    5.892  -62.681   20.031   14.080
   1.770    0.223    0.500   77.222    3.935    4.163    2.524    4.477    2.975  -26.748   12.173   18.218
   1.770    0.223    0.800   46.600    2.193    3.180    1.886    2.483    1.886  -16.395    6.743    6.981
