# Q2 xB t eps npts chi2ndf sigU err sigTT err sigLT err
   1.1660    0.1330    0.1200    0.3396   13.0000    0.3666  157.4295   27.3991   92.0850  109.0431    7.4053   50.6137
   1.1660    0.1330    0.1700    0.3396   15.0000    0.4868  142.9940   17.7779   -4.7158   76.7556    1.4586   27.1963
   1.1660    0.1330    0.2500    0.3396   18.0000    0.8673  116.1021   10.2159  -75.2259   42.1023  -23.1742   15.2416
   1.1660    0.1330    0.3500    0.3396   19.0000    0.9080   93.0338    8.7418  -31.6705   37.4869   -1.8351   12.9859
   1.1660    0.1330    0.5000    0.3396   20.0000    1.8858   50.6794    4.2911  -36.0201   19.0970    1.5959    6.1617
   1.1660    0.1330    0.8000    0.3396   20.0000    0.7860   36.1209    2.4708  -43.0614   10.0199    1.0287    3.1094
   1.1660    0.1330    1.2500    0.3396   15.0000    1.5872   16.2227    1.7283  -14.5457    6.5814   -1.1982    2.4359
   1.3880    0.1700    0.1200    0.4304   15.0000    0.4055  132.6421   15.3705   15.0869   53.0843   25.7174   19.8282
   1.3880    0.1700    0.1700    0.4304   13.0000    0.4814  154.7899   17.9842   -0.4229   57.1054  -18.7514   23.3902
   1.3880    0.1700    0.2500    0.4304   20.0000    1.4685  100.6928    7.9436  -23.5409   25.2187   10.0472   10.0285
   1.3880    0.1700    0.3500    0.4304   20.0000    1.0478  103.6205    7.9640  -81.5544   25.5985    7.1578    9.3267
   1.3880    0.1700    0.5000    0.4304   19.0000    1.6311   64.7531    4.4878  -65.5231   15.1123    4.0372    4.9880
   1.3880    0.1700    0.8000    0.4304   20.0000    2.4951   38.7064    2.3541  -12.4009    8.1944    5.5974    2.8306
   1.3880    0.1700    1.2500    0.4304   19.0000    1.5530   16.8208    1.5076   -6.2163    5.3421   -1.7817    1.8912
   1.6190    0.1870    0.2500    0.3486   14.0000    0.4054  116.0256   14.4851   11.3542   56.4786   -6.7534   22.3749
   1.6190    0.1870    0.3500    0.3486   14.0000    0.4907   97.5298   13.1357  -23.4708   50.4394  -21.1662   20.8104
   1.6190    0.1870    0.5000    0.3486   14.0000    1.2388   70.3929    7.5919  -23.9785   31.9359   -6.2359   10.9841
   1.6190    0.1870    0.8000    0.3486   19.0000    0.8825   38.2871    3.3257  -45.3390   13.0366   -4.5558    4.5184
   1.6190    0.1870    1.2500    0.3486   11.0000    0.5586   18.2448    2.7129  -16.7144   12.0644   -1.2603    3.9069
   1.7700    0.2230    0.1700    0.4622   15.0000    0.6712   92.4861   11.3196   22.6444   34.8205   16.9690   14.9331
   1.7700    0.2230    0.2500    0.4622   20.0000    1.2420   95.5158    6.3593  -31.4407   20.7076   24.0237    7.3764
   1.7700    0.2230    0.3500    0.4622   20.0000    0.7201  104.0659    6.5723  -62.6809   20.0306    7.4372    7.1133
   1.7700    0.2230    0.5000    0.4622   20.0000    2.5155   77.2223    3.9348  -26.7481   12.1726    2.5242    4.4767
   1.7700    0.2230    0.8000    0.4622   20.0000    1.6916   46.6003    2.1927  -16.3954    6.7432    1.8861    2.4826
   1.7700    0.2230    1.2500    0.4622   20.0000    1.0904   24.3562    1.4642  -23.6459    4.3353    3.0506    1.5189
   1.7700    0.2230    1.7500    0.4622   14.0000    1.1530   12.8720    1.6570   -0.5698    5.1351   -0.9099    2.1401
   1.8780    0.2710    0.2500    0.5942   16.0000    1.5537  136.4367   13.7004   62.3978   33.0243   26.9773   15.3467
   1.8780    0.2710    0.3500    0.5942   17.0000    1.2501  124.7667   13.2020   -1.5893   31.4598   18.4347   15.3611
   1.8780    0.2710    0.5000    0.5942   20.0000    1.0332  103.0305    7.0469  -34.7868   17.2393    6.1148    6.7157
